# PING PONG measurements (in us)
# Executed at: 14894.102135
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     2        100 601.51    127  31593        100  60.09     27    412          0      0      0      0
     3        100 244.97    127    907        100  66.26     17    499          0      0      0      0
     4        100 231.45    127    739        100  67.13     16    449          0      0      0      0
     5        100 241.38    127   1174        100  69.44     16    497          0      0      0      0
     6        100 248.57    127   1236        100   61.6     16    518          0      0      0      0
     7        100 246.44    127    954        100  58.72     17    445          0      0      0      0
     8        100 230.67    127    797        100  51.38     27    310          0      0      0      0
     9        100 254.72    127    938        100  72.14     16    874          0      0      0      0
    10        100 251.93    127   1128        100  68.99     16    475          0      0      0      0
    11        100 247.39    127   1089        100  73.34     16    790          0      0      0      0
    12        100 223.05    127    819        100  60.19     16    455          0      0      0      0
    13        100 260.64    127   1105        100  88.82     16    707          0      0      0      0
    14        100 242.77    127   1213        100   69.1     16    564          0      0      0      0
    15        100  242.5    127   1217        100  54.62     27    460          0      0      0      0
    16        100 236.03    127    798        100  58.55     16    447          0      0      0      0
    17        100 235.46    127    759        100  66.74     16    468          0      0      0      0
    18        100 241.01    127   1011        100  70.51     16    474          0      0      0      0
    19        100 242.91    127    939        100  68.28     16    505          0      0      0      0
    20        100 233.04    127   1052        100  65.03     16    425          0      0      0      0
    21        100 223.77    127    949        100  52.18     27    418          0      0      0      0
    22        100 233.95    127   1196        100  75.61     16    733          0      0      0      0
    23        100 239.36    127   1047        100  57.77     16    423          0      0      0      0
    24        100 242.66    127   1232        100  69.47     16    465          0      0      0      0
    25        100 230.52    127   1392        100  61.71     27   1366          0      0      0      0
    26        100 268.45    127   2609        100  71.07     16    652          0      0      0      0
    27        100 256.22    127   1631        100  78.76     16   1602          0      0      0      0
    28        100 221.95    127    715        100  64.69     16    425          0      0      0      0
    29        100 252.15    127   1282        100  77.47     16    709          0      0      0      0
    30        100 232.97    127    959        100  67.75     16    445          0      0      0      0
