# PING PONG measurements (in us)
# Executed at: 14836.345595
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     2        100 792.75    139  31708        100   79.1     16    492          0      0      0      0
     3        100 289.69    132   2114        100  73.28     16    213          0      0      0      0
     4        100 286.46    132   2155        100  75.19     16    400          0      0      0      0
     5        100 265.45    139   1179        100  81.73     16    617          0      0      0      0
     6        100 382.16    132  11967        100  70.45     16    214          0      0      0      0
     7        100 264.09    132   1447        100  69.57     16    261          0      0      0      0
     8        100 338.36    132   9354        100  63.05     16    229          0      0      0      0
     9        100 249.75    136    935        100  75.04     16    279          0      0      0      0
    10        100 498.75    132  12495        100  73.86     16    439          0      0      0      0
    11        100 250.21    133   1360        100  75.25     16    538          0      0      0      0
    12        100 361.36    133  12211        100  68.29     16    238          0      0      0      0
    13        100 254.74    133   1026        100  69.09     16    232          0      0      0      0
    14        100 356.46    132  12474        100  67.03     16    227          0      0      0      0
    15        100  242.9    140    842        100  73.94     16    237          0      0      0      0
    16        100 497.02    132  24322        100  65.33     16    461          0      0      0      0
    17        100 256.65    139   1100        100  74.36     16    210          0      0      0      0
    18        100 433.68    132  11985        100  72.95     16    279          0      0      0      0
    19        100 284.43    132   1840        100  77.59     16    795          0      0      0      0
    20        100 369.97    132  12141        100  61.91     16    230          0      0      0      0
    21        100 265.56    139   2039        100  72.98     16    215          0      0      0      0
    22        100 479.45    132  12463        100  64.41     16    299          0      0      0      0
    23        100 266.08    134   1511        100  80.73     16    642          0      0      0      0
    24        100 350.04    133   9370        100  66.24     16    244          0      0      0      0
    25        100 251.96    133   1573        100   68.5     16    226          0      0      0      0
    26        100  493.3    132  12452        100  70.24     16    228          0      0      0      0
    27        100 247.14    132   1306        100  67.56     16    209          0      0      0      0
    28        100 360.37    133   9502        100  71.24     16    232          0      0      0      0
    29        100 245.93    133   1145        100  71.14     16    230          0      0      0      0
    30        100 354.77    132  12237        100  62.95     16    229          0      0      0      0
    31        100  241.9    132   1039        100  64.42     16    435          0      0      0      0
    32        100 514.03    132  12600        100  68.22     16    234          0      0      0      0
    33        100 269.74    133   2513        100  69.06     16    210          0      0      0      0
    34        100 399.92    132   9452        100  65.12     16    243          0      0      0      0
    35        100 240.15    132   1053        100  67.69     16    228          0      0      0      0
    36        100  433.3    133  13044        100  71.47     16    226          0      0      0      0
    37        100 254.18    133   1908        100  70.68     16    210          0      0      0      0
    38        100 349.74    132  10748        100  67.11     16    207          0      0      0      0
    39        100 260.56    133   1518        100  70.33     16    341          0      0      0      0
    40        100 477.11    132  12453        100  75.69     16    688          0      0      0      0
    41        100 255.75    140   1327        100  74.48     16    390          0      0      0      0
    42        100 362.38    132   9591        100  74.14     16    208          0      0      0      0
    43        100 260.69    133   1441        100  69.13     16    358          0      0      0      0
    44        100 480.99    133  11944        100  68.75     16    225          0      0      0      0
    45        100 260.16    136   1475        100  71.67     16    213          0      0      0      0
    46        100 473.44    132  13072        100  71.77     16    211          0      0      0      0
    47        100 255.68    133   1162        100  70.92     16    382          0      0      0      0
    48        100 354.91    132  10362        100  68.84     16    252          0      0      0      0
    49        100 237.39    132    874        100  69.05     16    211          0      0      0      0
    50        100 381.73    140  12542        100  75.45     16    393          0      0      0      0
    51        100 277.03    132   1666        100  70.12     16    220          0      0      0      0
    52        100 331.72    140   8584        100  73.84     16    271          0      0      0      0
    53        100 379.34    134  11751        100  72.19     16    361          0      0      0      0
    54        100 251.76    133   1456        100  69.22     16    210          0      0      0      0
    55        100 342.23    132  10337        100  67.56     16    242          0      0      0      0
    56        100 266.14    133   1504        100  75.11     16    547          0      0      0      0
    57        100 485.72    140  13120        100  72.73     16    234          0      0      0      0
    58        100 253.86    140   1458        100  73.01     16    333          0      0      0      0
    59        100 353.56    133  10860        100  69.72     15    221          0      0      0      0
    60        100 254.89    133   1558        100  69.37     16    233          0      0      0      0
    61        100 476.66    133  12502        100  68.47     16    490          0      0      0      0
    62        100 244.88    133   1324        100  77.45     16    412          0      0      0      0
    63        100 250.68    133   1308        100   71.5     16    223          0      0      0      0
    64        100 257.08    133   1094        100  73.01     16    289          0      0      0      0
    65        100 242.99    140   4053        100    110     16   3686          0      0      0      0
    66        100 157.12    132    601        100  67.04     16    259          0      0      0      0
    67        100 152.18    133    485        100  67.77     16    182          0      0      0      0
    68        100 161.25    132    524        100  70.45     16    490          0      0      0      0
    69        100 166.95    129    770        100  70.92     16    427          0      0      0      0
    70        100 160.67    132    844        100  66.22     16    221          0      0      0      0
    71        100 157.84    132    527        100  71.36     16    505          0      0      0      0
