# PING PONG measurements (in us)
# Executed at: 14227.612297
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     1        100 240.52    176    678         99 106.646     46    205          0      0      0      0
     2        100 211.88    177    310        100 131.12     45    205          0      0      0      0
     3        100 221.59    178    702        100 150.43     46    634          0      0      0      0
     4        100 211.84    177    281        100 105.72     45    214          0      0      0      0
     5        100 213.81    177    385        100  53.33     46    171          0      0      0      0
     6        100 212.49    204    314        100  92.77     48    233          0      0      0      0
     7        100 212.69    206    333        100 155.82    150    276          0      0      0      0
     8        100 211.36    178    341        100 139.69     45    206          0      0      0      0
     9        100 209.56    177    267        100  75.45     45    187          0      0      0      0
    10        100 210.34    206    279        100 152.29     51    197          0      0      0      0
    11        100 212.54    178    469        100  73.47     46    409          0      0      0      0
    12        100 210.01    206    273        100 113.39     48    164          0      0      0      0
    13        100 210.41    205    299        100  106.8     46    202          0      0      0      0
    14        100 215.68    204    604        100 116.82     46    543          0      0      0      0
    15        100 209.53    178    260        100  55.39     46    151          0      0      0      0
    16        100  209.8    203    241        100 105.11     48    166          0      0      0      0
    17        100 209.96    188    294        100  61.89     45    199          0      0      0      0
    18        100 212.75    178    431        100  56.02     45    162          0      0      0      0
    19        100  209.8    206    261        100  49.04     48     59          0      0      0      0
    20        100 209.67    178    252        100 110.94     45    196          0      0      0      0
    21        100 210.07    189    326        100  51.11     46    152          0      0      0      0
    22        100 214.47    184    655        100 104.73     46    220          0      0      0      0
    23        100 210.46    206    244        100 153.33    150    184          0      0      0      0
    24        100 210.97    177    267        100 120.04     45    206          0      0      0      0
    25        100 209.56    177    253        100 120.18     45    182          0      0      0      0
    26        100 212.68    188    434        100  59.47     46    161          0      0      0      0
    27        100  209.2    177    284        100  52.59     46    155          0      0      0      0
    28        100 210.44    178    251        100 130.15     46    193          0      0      0      0
    29        100  209.1    178    245        100  77.62     46    187          0      0      0      0
    30        100 209.42    205    271        100 106.11     48    171          0      0      0      0
    31        100  214.3    206    405        100  50.27     48    121          0      0      0      0
    32        100 209.87    177    243        100  69.91     46    183          0      0      0      0
    33        100 223.93    204   1004        100 104.98     48    918          0      0      0      0
    34        100  214.3    197    597        100  49.57     46     61          0      0      0      0
    35        100  214.9    204    519        100 155.51     49    446          0      0      0      0
    36        100 213.28    178    385        100 140.77     46    316          0      0      0      0
    37        100 212.52    178    285        100 137.31     46    229          0      0      0      0
    38        100 210.46    206    245        100 154.23    150    189          0      0      0      0
    39        100 210.69    188    266        100  151.1     46    208          0      0      0      0
    40        100 220.91    206    627        100 163.67    150    566          0      0      0      0
    41        100 210.01    177    257        100 139.04     45    201          0      0      0      0
    42        100 210.87    178    261        100 146.34     46    204          0      0      0      0
    43        100 210.03    179    259        100  79.42     45    197          0      0      0      0
    44        100 209.63    177    251        100  83.56     45    182          0      0      0      0
    45        100    210    178    275        100  55.26     46    151          0      0      0      0
    46        100 212.48    206    329        100  82.41     48    184          0      0      0      0
    47        100 260.95    202   1096        100 176.37     47   1026          0      0      0      0
    48        100 231.42    182    462        100 128.46     46    401          0      0      0      0
    49        100 209.62    204    240        100  70.84     48    163          0      0      0      0
    50        100 209.46    177    271        100  92.81     46    215          0      0      0      0
    51        100 211.71    181    286        100  93.82     46    191          0      0      0      0
    52        100 209.44    178    251        100 121.11     46    194          0      0      0      0
