# PING PONG measurements (in us)
# Executed at: 14086.286459
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     1        100 163.65    131    471         99 54.3535     39    171          0      0      0      0
     2        100 169.64    154    540        100  128.7    118    492          0      0      0      0
     3        100 164.02    152    538        100 125.54     39    499          0      0      0      0
     4        100 159.73    153    307        100 101.55     40    189          0      0      0      0
     5        100 159.45    153    327        100  43.06     42     63          0      0      0      0
     6        100  158.4    152    228        100  97.99     42    172          0      0      0      0
     7        100 157.66    131    286        100 110.67     39    238          0      0      0      0
     8        100 157.45    131    272        100  93.51     39    172          0      0      0      0
     9        100 159.16    153    256        100 121.64    118    194          0      0      0      0
    10        100 156.86    132    211        100  53.99     40    174          0      0      0      0
    11        100 157.27    131    209        100  73.09     39    150          0      0      0      0
    12        100 165.18    153    612        100 128.44    118    575          0      0      0      0
    13        100 156.79    131    205        100 113.48     39    168          0      0      0      0
    14        100 167.14    151   1124        100  114.4     39    154          0      0      0      0
    15        100 157.13    132    215        100     79     39    176          0      0      0      0
    16        100 156.35    153    190        100  42.29     42     52          0      0      0      0
    17        100 155.48    153    226        100  42.13     42     44          0      0      0      0
    18        100 157.51    153    223        100  70.77     42    149          0      0      0      0
    19        100 156.16    153    190        100 119.82    118    150          0      0      0      0
    20        100 156.99    153    210        100 120.32    118    174          0      0      0      0
    21        100 156.19    149    193        100 108.09     39    156          0      0      0      0
    22        100 158.31    131    411        100  46.04     39    118          0      0      0      0
    23        100 158.42    131    231        100  63.98     39    134          0      0      0      0
    24        100 156.88    131    200        100  113.7     39    153          0      0      0      0
    25        100 155.87    132    210        100 115.41     39    172          0      0      0      0
    26        100 155.86    131    219        100  91.98     39    181          0      0      0      0
    27        100 156.35    131    191        100  56.83     39    154          0      0      0      0
    28        100 156.16    152    227        100  46.74     42    129          0      0      0      0
    29        100 159.22    131    369        100  49.11     39    241          0      0      0      0
    30        100 157.27    153    249        100  42.64     42     59          0      0      0      0
    31        100 157.26    152    239        100 104.17     42    150          0      0      0      0
    32        100 158.31    131    383        100 104.36     39    345          0      0      0      0
    33        100 161.25    153    365        100  42.92     42     92          0      0      0      0
    34        100 157.54    153    254        100   42.7     42     52          0      0      0      0
    35        100  157.6    152    245        100 113.53     42    163          0      0      0      0
    36        100 157.15    154    216        100 120.43    118    150          0      0      0      0
    37        100 172.27    154    626        100 131.81    118    574          0      0      0      0
    38        100 157.13    131    226        100  94.92     39    178          0      0      0      0
    39        100 156.25    131    192        100  46.49     39    118          0      0      0      0
    40        100 157.03    153    240        100   42.5     42     70          0      0      0      0
    41        100 157.64    132    224        100 101.12     39    187          0      0      0      0
    42        100 163.16    152    622        100  60.33     42    467          0      0      0      0
    43        100 157.43    154    202        100 120.99    118    166          0      0      0      0
    44        100  156.6    132    204        100 118.98     39    167          0      0      0      0
    45        100 156.05    131    196        100  69.18     39    150          0      0      0      0
    46        100  156.1    132    211        100  44.73     39    119          0      0      0      0
    47        100 164.97    153   1076        100  42.73     42     56          0      0      0      0
    48        100 156.54    132    225        100  96.13     39    188          0      0      0      0
    49        100 155.25    131    189        100 106.96     39    152          0      0      0      0
    50        100 155.44    131    208        100  99.55     39    169          0      0      0      0
    51        100 156.07    154    201        100 119.67    118    149          0      0      0      0
    52        100  158.4    131    424        100   89.6     39    384          0      0      0      0
    53        100 156.61    153    205        100 120.33    118    167          0      0      0      0
    54        100 156.53    153    212        100 120.59    118    175          0      0      0      0
    55        100 154.88    132    196        100  70.48     39    158          0      0      0      0
    56        100 160.95    154    538        100    115     42    499          0      0      0      0
    57        100 156.19    132    236        100  89.49     39    173          0      0      0      0
    58        100 154.82    153    209        100   42.1     42     45          0      0      0      0
    59        100 162.91    153    581        100  42.87     41     92          0      0      0      0
    60        100  168.8    132    571        100  51.28     39    359          0      0      0      0
    61        100 171.86    131    767        100  44.59     39    119          0      0      0      0
    62        100  165.4    131    865        100  54.25     40    134          0      0      0      0
    63        100 155.93    154    206        100 119.59    118    147          0      0      0      0
    64        100 156.81    154    189        100  120.9    118    153          0      0      0      0
    65        100 155.13    131    200        100   81.3     39    163          0      0      0      0
    66        100 155.84    132    207        100  43.79     39    119          0      0      0      0
    67        100 156.39    153    223        100  42.42     42     57          0      0      0      0
    68        100 155.96    133    219        100  81.73     39    161          0      0      0      0
    69        100 157.14    133    216        100 106.54     40    179          0      0      0      0
    70        100 156.69    152    224        100  75.35     42    133          0      0      0      0
    71        100 159.99    154    507        100 123.44    118    468          0      0      0      0
    72        100 155.65    132    225        100  60.61     39    187          0      0      0      0
    73        100 157.22    153    239        100  43.42     42    108          0      0      0      0
    74        100 155.75    132    213        100  46.41     40    119          0      0      0      0
    75        100 155.82    153    215        100  43.26     42    101          0      0      0      0
    76        100 156.37    131    223        100  45.53     39    119          0      0      0      0
    77        100 154.71    130    190        100   42.5     39     65          0      0      0      0
    78        100 154.76    132    189        100  71.57     39    153          0      0      0      0
    79        100 154.83    152    180        100  83.76     42    131          0      0      0      0
    80        100 154.58    131    201        100   48.7     39    163          0      0      0      0
    81        100 154.77    133    189        100  46.03     39    119          0      0      0      0
    82        100 162.14    131    541        100  67.87     39    417          0      0      0      0
    83        100 161.55    153    658        100  42.26     42     48          0      0      0      0
    84        100 157.44    132    278        100  90.97     39    171          0      0      0      0
    85        100 155.54    153    274        100  42.26     41     55          0      0      0      0
    86        100 161.89    131    802        100  54.02     39    119          0      0      0      0
    87        100 163.55    133    591        100 103.64     39    260          0      0      0      0
    88        100  155.1    131    208        100  58.13     39    120          0      0      0      0
    89        100 155.29    130    210        100 101.29     39    172          0      0      0      0
    90        100 155.48    132    235        100 115.17     39    194          0      0      0      0
    91        100 159.07    153    546        100  42.42     41     54          0      0      0      0
    92        100 156.93    131    390        100  45.47     39    118          0      0      0      0
    93        100 154.62    153    191        100   42.3     42     52          0      0      0      0
    94        100  154.7    153    190        100  42.11     42     44          0      0      0      0
    95        100 154.56    153    197        100  42.41     42     56          0      0      0      0
    96        100  156.2    131    234        100  45.53     39    118          0      0      0      0
    97        100 163.45    132    761        100  46.97     39    151          0      0      0      0
    98        100 157.11    131    225        100  59.18     40    130          0      0      0      0
    99        100 154.61    132    196        100 110.67     39    158          0      0      0      0
   100        100 154.79    151    180        100  88.34     42    132          0      0      0      0
   101        100 155.44    131    213        100 116.97     39    166          0      0      0      0
   102        100 157.91    153    383        100  119.8    118    165          0      0      0      0
   103        100 154.68    132    212        100  76.38     39    176          0      0      0      0
   104        100 154.91    131    206        100  43.97     39    119          0      0      0      0
   105        100  155.8    151    228        100  43.65     41    119          0      0      0      0
   106        100 155.52    132    191        100  88.55     39    154          0      0      0      0
   107        100 155.51    153    230        100   42.1     41     44          0      0      0      0
   108        100 155.55    153    233        100  42.47     41     74          0      0      0      0
   109        100 161.28    132    538        100 103.37     39    179          0      0      0      0
   110        100 154.74    153    206        100  42.13     42     45          0      0      0      0
   111        100 158.19    130    389        100   92.2     39    351          0      0      0      0
   112        100  159.8    133    554        100  70.94     39    517          0      0      0      0
   113        100 156.14    152    261        100  71.06     42    134          0      0      0      0
   114        100  155.6    150    190        100 114.76     40    149          0      0      0      0
   115        100 154.55    153    198        100    119    118    162          0      0      0      0
   116        100 154.74    131    192        100   68.5     39    155          0      0      0      0
   117        100  154.6    153    202        100  42.24     41     56          0      0      0      0
   118        100 155.07    151    178        100  88.16     42    132          0      0      0      0
   119        100 154.77    132    192        100  113.7     39    155          0      0      0      0
   120        100 155.88    132    225        100  83.85     39    166          0      0      0      0
   121        100 166.47    133    626        100   98.2     40    575          0      0      0      0
   122        100 163.59    153    801        100  43.05     42     85          0      0      0      0
   123        100 159.76    154    436        100  42.87     42     74          0      0      0      0
   124        100 155.06    131    198        100 106.59     39    161          0      0      0      0
   125        100 154.77    153    188        100 118.81    118    133          0      0      0      0
   126        100 156.21    132    305        100  62.65     39    171          0      0      0      0
   127        100 155.37    153    209        100  42.37     42     56          0      0      0      0
   128        100 155.05    153    206        100  42.16     42     44          0      0      0      0
   129        100 155.22    153    212        100  42.32     42     55          0      0      0      0
   130        100    155    151    193        100 105.61     39    135          0      0      0      0
   131        100 158.76    154    484        100 119.71    118    153          0      0      0      0
   132        100 155.31    154    209        100 119.61    118    171          0      0      0      0
   133        100  158.7    154    378        100 122.54    118    306          0      0      0      0
   134        100 156.08    153    219        100 120.01    118    183          0      0      0      0
   135        100 160.18    153    500        100 123.16    118    461          0      0      0      0
   136        100 156.18    154    284        100  120.5    118    247          0      0      0      0
   137        100 163.77    154    544        100 127.79    118    497          0      0      0      0
   138        100 156.45    153    204        100 119.77    118    165          0      0      0      0
   139        100 154.85    153    200        100 119.25    118    165          0      0      0      0
   140        100 154.74    132    201        100  113.6     39    164          0      0      0      0
   141        100 158.78    131    561        100 109.87     39    518          0      0      0      0
   142        100  156.5    131    257        100  53.96     39    153          0      0      0      0
   143        100 157.91    131    499        100 104.13     39    131          0      0      0      0
   144        100 154.66    153    181        100 118.62    118    123          0      0      0      0
   145        100  154.9    133    211        100  96.11     39    165          0      0      0      0
   146        100 155.02    131    219        100  43.98     39    118          0      0      0      0
   147        100 155.24    153    232        100  42.28     41     53          0      0      0      0
   148        100 155.27    151    208        100 100.85     42    133          0      0      0      0
   149        100 154.97    153    191        100 118.65    118    123          0      0      0      0
   150        100 156.16    153    211        100 120.23    118    175          0      0      0      0
   151        100  155.1    153    215        100 118.78    118    132          0      0      0      0
   152        100 156.92    131    401        100 107.63     39    364          0      0      0      0
   153        100  156.1    153    195        100  42.48     41     55          0      0      0      0
   154        100 154.77    132    228        100  45.15     40    120          0      0      0      0
   155        100 154.23    131    179        100   45.7     39    119          0      0      0      0
   156        100 155.21    131    234        100  46.57     39    198          0      0      0      0
   157        100 156.15    153    223        100  42.36     41     57          0      0      0      0
   158        100 154.92    153    220        100  92.42     42    184          0      0      0      0
   159        100 157.42    153    221        100 121.33    118    185          0      0      0      0
   160        100 154.19    132    191        100   49.1     39    123          0      0      0      0
   161        100 154.95    131    189        100  71.84     39    120          0      0      0      0
   162        100 163.41    133    534        100  73.98     39    439          0      0      0      0
   163        100 156.53    153    282        100  42.24     42     45          0      0      0      0
   164        100 155.16    131    212        100  85.69     39    152          0      0      0      0
   165        100    157    153    259        100  92.53     42    222          0      0      0      0
   166        100 154.76    133    221        100  73.37     39    149          0      0      0      0
   167        100 154.31    131    177        100 109.98     39    133          0      0      0      0
   168        100  158.4    131    384        100 114.09     39    174          0      0      0      0
   169        100 154.55    132    190        100  75.76     39    137          0      0      0      0
   170        100 154.75    153    201        100  42.09     41     44          0      0      0      0
   171        100 154.53    153    179        100  42.24     42     44          0      0      0      0
   172        100 158.22    153    405        100  42.23     41     46          0      0      0      0
   173        100 156.58    153    298        100  42.38     41     52          0      0      0      0
   174        100 154.96    131    195        100   46.7     39    119          0      0      0      0
   175        100 153.91    132    178        100  45.02     39    119          0      0      0      0
   176        100 155.12    132    212        100 111.46     39    175          0      0      0      0
   177        100 154.37    131    180        100  74.45     39    144          0      0      0      0
   178        100 154.67    153    198        100  42.04     41     44          0      0      0      0
   179        100 155.26    153    198        100   42.1     42     44          0      0      0      0
   180        100 155.66    151    205        100  85.79     42    167          0      0      0      0
   181        100 154.82    153    195        100 118.72    118    133          0      0      0      0
   182        100 157.49    132    400        100 117.89     39    362          0      0      0      0
   183        100 157.97    133    398        100 118.29     39    357          0      0      0      0
   185        100 157.93    153    385        100  122.1    117    327          0      0      0      0
   186        100 154.21    131    203        100  82.31     39    166          0      0      0      0
   187        100 154.45    131    191        100  46.87     39    119          0      0      0      0
   188        100  166.4    153    739        100  81.47     40    305          0      0      0      0
