# PING PONG measurements (in us)
# Executed at: 13866.109803
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     1        100 166.41    133    564         99 85.6364     42    286          0      0      0      0
     2        100 136.93    110    198        100  86.38     36    167          0      0      0      0
     3        100 139.26    110    392        100  43.83     37    106          0      0      0      0
     4        100 137.18    110    228        100  44.23     37    112          0      0      0      0
     5        100 135.59    132    206        100  84.89     39    166          0      0      0      0
     6        100 136.11    133    201        100 107.26    105    161          0      0      0      0
     7        100 138.23    133    264        100 109.13    105    235          0      0      0      0
     8        100  141.8    133    581        100 112.62    105    551          0      0      0      0
     9        100 137.82    109    289        100  81.61     36    192          0      0      0      0
    10        100 137.34    131    219        100   72.2     39    165          0      0      0      0
    11        100 137.95    133    206        100 108.63    105    165          0      0      0      0
    12        100 135.72    112    199        100  60.67     37    141          0      0      0      0
    13        100    135    109    171        100  88.03     37    128          0      0      0      0
    14        100 135.25    111    172        100 104.54     36    135          0      0      0      0
    15        100 134.22    133    154        100 105.63    105    116          0      0      0      0
    16        100 134.95    111    189        100  87.13     36    160          0      0      0      0
    17        100 136.44    110    351        100  41.45     36    166          0      0      0      0
    18        100 135.06    109    167        100  55.33     36    114          0      0      0      0
    19        100 135.28    110    225        100  73.92     36    120          0      0      0      0
    20        100 134.74    110    195        100 104.42     36    165          0      0      0      0
    21        100 135.15    110    231        100  79.47     36    202          0      0      0      0
    22        100 134.71    110    210        100  47.13     36    181          0      0      0      0
    23        100 134.61    110    159        100  41.46     37    106          0      0      0      0
    24        100 134.02    110    173        100  69.69     36    120          0      0      0      0
    25        100 134.39    110    184        100  44.78     37    109          0      0      0      0
    26        100 135.24    133    183        100  39.93     39     53          0      0      0      0
    27        100 134.74    110    170        100  45.38     37    117          0      0      0      0
    28        100 136.75    132    373        100  39.62     39     42          0      0      0      0
    29        100 135.46    133    211        100  66.51     39    106          0      0      0      0
    30        100 135.15    111    171        100 100.83     36    141          0      0      0      0
    31        100 134.89    133    181        100  106.6    105    152          0      0      0      0
    32        100 134.35    132    159        100  48.87     38    110          0      0      0      0
    33        100 135.13    133    174        100  40.11     39     70          0      0      0      0
    34        100 139.04    131    387        100 101.81     39    356          0      0      0      0
    35        100 135.32    133    193        100 106.68    105    165          0      0      0      0
    36        100 134.72    133    171        100 106.31    105    142          0      0      0      0
    37        100 138.93    110    565        100 101.01     36    535          0      0      0      0
    38        100 134.42    133    186        100  39.72     39     50          0      0      0      0
    39        100 134.48    133    162        100  39.88     39     60          0      0      0      0
    40        100 137.31    133    394        100  39.98     39     72          0      0      0      0
    41        100 134.46    110    188        100  45.09     37    160          0      0      0      0
    42        100 138.69    131    347        100  96.86     39    225          0      0      0      0
    43        100 135.25    133    171        100 106.33    105    127          0      0      0      0
    44        100 134.97    133    167        100 106.39    105    138          0      0      0      0
    45        100 135.56    133    183        100 106.84    105    155          0      0      0      0
    46        100 135.29    133    188        100  106.9    105    160          0      0      0      0
    47        100 135.93    111    179        100  72.09     37    140          0      0      0      0
    48        100 207.83    110   7383        100 117.75     36   7164          0      0      0      0
    49        100 134.53    133    169        100 106.29    105    140          0      0      0      0
    50        100 135.22    110    235        100  85.37     36    206          0      0      0      0
    51        100 139.07    131    501        100  79.65     39    119          0      0      0      0
    52        100 135.26    133    198        100 106.21    105    119          0      0      0      0
    53        100 135.44    133    182        100 106.64    105    153          0      0      0      0
    54        100 136.67    116    227        100  51.45     38    197          0      0      0      0
    55        100 134.24    133    181        100  39.69     39     53          0      0      0      0
    56        100 137.34    131    311        100 102.31     39    133          0      0      0      0
    57        100  134.6    133    156        100 106.12    105    128          0      0      0      0
    58        100 135.09    111    178        100  43.66     37    136          0      0      0      0
    59        100 134.61    110    181        100  42.36     37    106          0      0      0      0
    60        100 134.83    131    190        100  71.18     39    122          0      0      0      0
    61        100  168.7    110   2445        100 110.57     36    805          0      0      0      0
    62        100 142.92    131    614        100  57.01     37    228          0      0      0      0
    63        100 136.01    133    220        100  107.2    105    189          0      0      0      0
    64        100 138.54    133    406        100 109.78    105    376          0      0      0      0
    65        100 135.58    133    175        100 107.09    105    147          0      0      0      0
    66        100 138.12    133    343        100 109.76    105    313          0      0      0      0
    67        100 135.41    133    194        100  106.5    105    122          0      0      0      0
    68        100 136.34    133    182        100 107.75    105    150          0      0      0      0
    69        100 135.54    126    172        100  48.64     39    135          0      0      0      0
    70        100 145.67    110    493        100  88.99     37    344          0      0      0      0
    71        100 143.32    133    631        100 109.97    105    310          0      0      0      0
    72        100 148.74    133    865        100 116.32     41    823          0      0      0      0
    73        100 145.98    110    753        100   97.4     36    699          0      0      0      0
    74        100 135.66    110    171        100  95.14     36    142          0      0      0      0
    75        100 135.34    133    172        100 106.69    105    141          0      0      0      0
    76        100 134.53    133    160        100 105.84    105    118          0      0      0      0
    77        100 135.17    111    190        100  98.94     37    160          0      0      0      0
    78        100 135.38    109    183        100  98.71     36    153          0      0      0      0
    79        100 135.44    109    260        100  62.54     36    127          0      0      0      0
    80        100 134.93    133    212        100  39.67     39     50          0      0      0      0
    81        100 134.93    131    177        100   69.8     37    106          0      0      0      0
    82        100 135.31    133    166        100 106.43    105    134          0      0      0      0
    83        100 135.12    133    179        100 106.05    105    119          0      0      0      0
    84        100 134.78    133    176        100 106.36    105    148          0      0      0      0
    85        100 139.57    133    484        100 110.81    105    453          0      0      0      0
    86        100 135.17    110    185        100  59.03     36    156          0      0      0      0
    87        100 134.18    110    173        100  44.43     36    110          0      0      0      0
    88        100 134.76    133    155        100 106.37    105    127          0      0      0      0
    89        100  135.6    133    179        100 106.48    105    146          0      0      0      0
    90        100 135.29    131    169        100  77.86     37    140          0      0      0      0
    91        100 134.59    131    191        100   63.2     39    107          0      0      0      0
    92        100 135.38    133    172        100 106.79    105    142          0      0      0      0
    93        100 134.52    133    167        100 106.19    105    138          0      0      0      0
    94        100 137.62    133    383        100 106.19    105    128          0      0      0      0
    95        100 135.29    110    207        100  44.95     36    178          0      0      0      0
    96        100 136.54    125    366        100  44.06     37    109          0      0      0      0
    97        100 136.18    122    196        100  49.95     39    109          0      0      0      0
    98        100 135.33    110    198        100  93.01     37    169          0      0      0      0
    99        100 143.94    132    979        100  68.96     39    226          0      0      0      0
   100        100 138.41    134    292        100 109.91    105    263          0      0      0      0
   101        100  149.5    133    450        100 120.62    105    409          0      0      0      0
   102        100 146.46    132    463        100 113.65     39    305          0      0      0      0
   103        100 139.92    134    491        100 111.46    105    461          0      0      0      0
   104        100 204.76    111   7117        100 158.74     37   7046          0      0      0      0
   105        100 135.73    133    233        100  39.76     39     47          0      0      0      0
   106        100    135    133    181        100  39.84     39     53          0      0      0      0
   107        100 138.26    133    489        100  43.29     39    376          0      0      0      0
   108        100 143.16    133   1036        100  48.62     39    931          0      0      0      0
   109        100 135.91    110    226        100  74.34     37    196          0      0      0      0
   110        100 135.77    133    196        100  39.94     39     49          0      0      0      0
   111        100 134.52    133    192        100  39.67     39     42          0      0      0      0
   112        100 135.71    110    190        100  77.28     37    120          0      0      0      0
   113        100 134.93    110    183        100 101.97     37    154          0      0      0      0
   114        100 135.37    110    184        100     49     37    155          0      0      0      0
   115        100 134.99    131    201        100  50.12     39    106          0      0      0      0
   116        100 135.14    133    178        100 106.85    105    149          0      0      0      0
   117        100 134.85    110    177        100  48.76     37    111          0      0      0      0
   118        100 144.24    110   1008        100  52.66     36    871          0      0      0      0
   119        100 134.67    132    174        100  77.26     39    107          0      0      0      0
   120        100 135.34    133    176        100 106.68    105    147          0      0      0      0
   121        100 133.96    110    170        100  61.07     36    141          0      0      0      0
   122        100  135.4    132    203        100  91.09     39    126          0      0      0      0
   123        100 137.43    133    278        100 109.04    105    249          0      0      0      0
   124        100 139.33    110    416        100 108.56     37    385          0      0      0      0
   125        100 134.66    132    175        100  40.12     39     57          0      0      0      0
   126        100 135.41    131    183        100  52.12     39    106          0      0      0      0
   127        100 134.57    133    167        100 106.11    105    138          0      0      0      0
   128        100  134.7    133    179        100 106.36    105    150          0      0      0      0
   129        100 134.43    110    168        100  92.48     36    139          0      0      0      0
   130        100 137.08    133    424        100  42.63     39    325          0      0      0      0
   131        100 134.96    109    186        100  85.89     37    129          0      0      0      0
   132        100 135.32    110    175        100 104.95     36    146          0      0      0      0
   133        100 134.71    133    171        100 105.82    105    120          0      0      0      0
   134        100 140.53    133    630        100 100.36     37    600          0      0      0      0
   135        100 136.18    133    215        100  39.95     39     55          0      0      0      0
   136        100 134.56    133    189        100  39.85     39     53          0      0      0      0
   137        100 134.46    133    178        100  39.84     39     53          0      0      0      0
   138        100 135.11    109    228        100   52.6     36    107          0      0      0      0
   139        100  136.4    109    233        100  95.32     36    205          0      0      0      0
   140        100 136.15    133    182        100 107.42    105    154          0      0      0      0
   141        100 137.43    133    356        100 108.41    105    326          0      0      0      0
   142        100 134.39    110    172        100  53.97     37    134          0      0      0      0
   143        100 135.85    132    208        100 103.13     39    138          0      0      0      0
   144        100 134.76    133    192        100 106.35    105    164          0      0      0      0
   145        100 134.87    111    180        100  81.27     37    151          0      0      0      0
   146        100 134.84    133    190        100  39.68     39     53          0      0      0      0
   147        100 139.02    110    626        100  46.16     37    501          0      0      0      0
   148        100  134.4    110    177        100  40.92     37    110          0      0      0      0
   149        100 135.56    133    219        100   84.8     39    190          0      0      0      0
   150        100 134.41    110    175        100 103.99     37    145          0      0      0      0
   151        100 134.12    110    180        100  78.04     36    143          0      0      0      0
   152        100 134.24    133    167        100  39.63     39     52          0      0      0      0
   153        100 137.38    133    363        100  42.59     39    266          0      0      0      0
   154        100 134.96    133    181        100  39.82     39     64          0      0      0      0
   155        100  138.7    131    405        100  59.67     39    106          0      0      0      0
   156        100 136.83    133    354        100 106.23    105    123          0      0      0      0
   158        100 770.25    110  62994        100  48.07     37    455          0      0      0      0
   159        100  138.6    132    541        100  40.09     39     67          0      0      0      0
   160        100 135.34    131    180        100  89.81     38    126          0      0      0      0
   161        100 134.18    132    201        100  39.82     39     53          0      0      0      0
   162        100 134.34    132    175        100  39.83     39     53          0      0      0      0
   163        100  138.4    109    372        100  66.62     37    146          0      0      0      0
   164        100 135.51    133    209        100 106.45    105    133          0      0      0      0
   165        100 137.67    110    351        100  70.36     37    162          0      0      0      0
   166        100 134.07    132    174        100  39.79     39     53          0      0      0      0
   167        100 135.45    132    197        100  93.21     39    132          0      0      0      0
   168        100 134.96    133    184        100 106.71    105    155          0      0      0      0
   169        100 134.98    133    190        100 106.51    105    162          0      0      0      0
   170        100 134.64    110    169        100  92.48     37    140          0      0      0      0
   171        100 136.87    130    376        100  58.15     39    106          0      0      0      0
   172        100 134.03    110    170        100   78.4     37    141          0      0      0      0
   173        100 134.85    131    180        100  68.38     39    119          0      0      0      0
   174        100 134.52    133    180        100 106.38    105    150          0      0      0      0
   175        100 138.36    109    561        100  81.84     36    149          0      0      0      0
   176        100 137.45    110    319        100 105.13     36    287          0      0      0      0
   177        100 141.01    110    492        100  104.9     36    177          0      0      0      0
   178        100 134.91    109    171        100  69.98     36    130          0      0      0      0
