# PING PONG measurements (in us)
# Executed at: 13777.798443
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     1        100 177.78    124    566         99 101.485     38    189          0      0      0      0
     2        100 151.22    146    237        100  69.97     40    193          0      0      0      0
     3        100 148.82    146    201        100  64.21     38    166          0      0      0      0
     4        100 154.38    123    325        100  49.15     38    200          0      0      0      0
     5        100 149.26    146    204        100  41.37     40     61          0      0      0      0
     6        100 149.19    146    269        100  41.52     40     70          0      0      0      0
     7        100 155.43    146    610        100  41.77     40     78          0      0      0      0
     8        100 151.13    122    263        100  44.33     37    113          0      0      0      0
     9        100 153.54    146    557        100   41.3     40     63          0      0      0      0
    10        100 149.31    123    224        100  45.24     38    185          0      0      0      0
    11        100 149.18    144    215        100  83.19     40    140          0      0      0      0
    12        100 151.01    123    297        100 111.16     38    263          0      0      0      0
    13        100 147.93    144    172        100 107.75     38    137          0      0      0      0
    14        100 147.87    146    193        100  41.04     40     54          0      0      0      0
    15        100 149.02    146    244        100  40.96     40     46          0      0      0      0
    16        100 150.07    146    239        100  94.04     40    152          0      0      0      0
    17        100 148.34    123    196        100   44.7     37    129          0      0      0      0
    18        100  151.2    122    424        100  73.85     37    125          0      0      0      0
    19        100 150.36    122    359        100  89.52     37    320          0      0      0      0
    20        100 147.72    146    194        100 113.86    112    160          0      0      0      0
    21        100 147.37    123    196        100  54.44     38    162          0      0      0      0
    22        100    148    144    200        100  88.38     40    137          0      0      0      0
    23        100 149.12    146    211        100 115.19    112    177          0      0      0      0
    24        100 148.21    146    186        100 114.06    112    152          0      0      0      0
    25        100 148.18    136    187        100 111.74     38    152          0      0      0      0
    26        100 149.23    146    232        100 114.26    112    144          0      0      0      0
    27        100 147.19    123    190        100  50.76     38    155          0      0      0      0
    28        100 148.28    145    197        100 109.47     41    146          0      0      0      0
    29        100 151.59    122    440        100  73.83     37    177          0      0      0      0
    30        100 148.36    123    197        100  45.28     38    128          0      0      0      0
    31        100 151.54    145    293        100 105.23     40    160          0      0      0      0
    32        100 148.72    123    204        100 109.23     38    169          0      0      0      0
    33        100 148.16    146    203        100 113.73    112    137          0      0      0      0
    34        100 147.16    122    173        100   76.5     37    139          0      0      0      0
    35        100 148.14    123    262        100  46.72     38    227          0      0      0      0
    36        100 151.63    122    521        100  50.01     37    177          0      0      0      0
    37        100    148    146    188        100  41.34     40     69          0      0      0      0
    38        100 148.92    146    238        100  41.25     40     55          0      0      0      0
    39        100 152.07    146    443        100  41.55     40     87          0      0      0      0
    40        100 148.38    146    198        100  40.85     40     43          0      0      0      0
    41        100 147.57    123    173        100  43.66     38    113          0      0      0      0
    42        100 147.18    122    207        100  56.47     37    173          0      0      0      0
    43        100 148.24    122    181        100  98.92     37    127          0      0      0      0
    44        100 149.04    144    197        100  61.21     38    116          0      0      0      0
    45        100 147.59    122    209        100  46.76     37    128          0      0      0      0
    46        100 147.39    123    211        100  42.83     37    176          0      0      0      0
    47        100 148.13    146    199        100  41.65     40     87          0      0      0      0
    48        100  147.7    146    185        100  41.04     40     59          0      0      0      0
    49        100 148.62    146    217        100  40.88     40     53          0      0      0      0
    50        100 150.77    122    360        100  47.63     37    132          0      0      0      0
    51        100 153.03    146    406        100 115.06    112    193          0      0      0      0
    52        100 149.99    146    312        100 114.24    113    173          0      0      0      0
    53        100 147.77    123    196        100 107.35     38    161          0      0      0      0
    54        100 148.62    122    212        100 111.79     38    175          0      0      0      0
    55        100 148.78    146    226        100  42.51     40    191          0      0      0      0
    56        100 148.03    122    220        100  77.55     37    173          0      0      0      0
    57        100  154.4    146    511        100  42.27     40     90          0      0      0      0
    58        100 148.88    146    278        100  40.86     40     43          0      0      0      0
    59        100 147.92    146    190        100  40.91     40     54          0      0      0      0
    60        100 157.29    146   1092        100  41.13     40     56          0      0      0      0
    61        100 147.62    146    190        100  40.79     40     43          0      0      0      0
    62        100 153.27    146    561        100  41.74     40     86          0      0      0      0
