# PING PONG measurements (in us)
# Executed at: 12405.627534
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     2        100 316.02    245   5277        100  76.78     67    487          0      0      0      0
     3        100 269.02    245   1966        100  85.58     67   1746          0      0      0      0
     4        100 250.42    245    356        100  68.65     67     88          0      0      0      0
     5        100 255.03    245    627        100  72.14     67    326          0      0      0      0
     6        100  545.6    246  29333        100  72.63     67    441          0      0      0      0
     7        100 248.73    246    300        100  68.11     67     77          0      0      0      0
     8        100 249.17    246    346        100  68.28     67     88          0      0      0      0
     9        100 275.34    246   2255        100  69.18     67    120          0      0      0      0
    10        100 253.27    245    628        100  68.25     67     83          0      0      0      0
    11        100 251.82    246    596        100  68.23     67     89          0      0      0      0
    12        100 258.39    246    627        100  71.88     67    370          0      0      0      0
    13        100 253.37    246    630        100  69.45     67    178          0      0      0      0
    14        100  253.6    245    660        100  68.17     67     79          0      0      0      0
    15        100 255.99    246    633        100  68.62     67     89          0      0      0      0
    16        100 249.83    246    351        100  68.58     67    115          0      0      0      0
    17        100 256.23    246    631        100  68.41     67     88          0      0      0      0
    18        100 251.48    245    441        100  68.78     67     88          0      0      0      0
    19        100  253.1    246    628        100  71.71     67    439          0      0      0      0
    20        100  249.5    245    351        100  68.02     67     80          0      0      0      0
    21        100 267.69    245   1363        100  71.59     67    295          0      0      0      0
    22        100 254.82    246    628        100  70.43     67    239          0      0      0      0
    23        100  256.9    245    631        100  68.29     67     89          0      0      0      0
    24        100 264.68    245    954        100  70.45     67    185          0      0      0      0
    25        100 249.62    246    302        100  68.28     67     80          0      0      0      0
    26        100 256.46    245    632        100  68.74     67     91          0      0      0      0
    27        100 256.01    245    629        100  68.52     67     87          0      0      0      0
    28        100 249.03    246    318        100  68.27     67     80          0      0      0      0
    29        100 327.31    246   7300        100  68.96     67    102          0      0      0      0
    30        100 252.91    245    451        100  69.66     67    197          0      0      0      0
    31        100 257.78    245    745        100  68.25     67     82          0      0      0      0
    32        100 265.64    246   1061        100   69.6     67    188          0      0      0      0
    33        100 255.51    246    623        100   72.4     67    432          0      0      0      0
    34        100 251.82    246    619        100  68.38     67     90          0      0      0      0
    35        100 254.53    246    653        100  68.94     67    115          0      0      0      0
    36        100 259.33    245    643        100  68.61     67     95          0      0      0      0
    37        100 250.31    246    374        100  68.28     67     87          0      0      0      0
    38        100 254.22    246    629        100  68.13     67     73          0      0      0      0
    39        100 255.65    246    872        100  69.14     67    161          0      0      0      0
    40        100 255.76    246    633        100  71.87     67    441          0      0      0      0
    41        100 249.44    246    353        100  67.86     67     74          0      0      0      0
    42        100 253.89    245    490        100  68.54     67     86          0      0      0      0
    43        100 255.61    245    643        100  71.93     67    436          0      0      0      0
    44        100 254.92    246    627        100  69.56     67    184          0      0      0      0
    45        100 251.38    245    553        100  71.45     67    367          0      0      0      0
    46        100 263.17    246    915        100   72.3     67    440          0      0      0      0
    47        100 248.79    245    340        100  68.15     67     81          0      0      0      0
    48        100 255.16    246    630        100  71.93     67    440          0      0      0      0
    49        100 252.97    245    465        100   68.8     67    116          0      0      0      0
    50        100 253.97    245    631        100  68.44     67     89          0      0      0      0
    51        100 271.63    245   2558        100  68.31     67     82          0      0      0      0
    52        100    262    246   1184        100  69.26     67    167          0      0      0      0
    53        100 249.35    245    310        100   68.9     67    129          0      0      0      0
    54        100 264.81    245   1092        100  76.35     67    871          0      0      0      0
    55        100 271.85    245   1033        100  70.35     67    123          0      0      0      0
    56        100  249.9    246    376        100  68.64     67    115          0      0      0      0
    57        100  251.7    246    597        100  71.68     67    407          0      0      0      0
    58        100 257.24    245    636        100  68.53     67     85          0      0      0      0
    59        100 249.15    246    379        100  68.34     67     82          0      0      0      0
    60        100 263.44    246   1186        100  68.86     67     89          0      0      0      0
    61        100 260.28    246    640        100  76.37     67    432          0      0      0      0
    62        100 249.71    245    336        100  68.51     67    115          0      0      0      0
    63        100  254.7    245    628        100  69.21     67    163          0      0      0      0
    64        100 250.38    245    419        100  69.87     67    235          0      0      0      0
    65        100    253    246    628        100  72.64     67    440          0      0      0      0
    66        100 252.06    246    484        100  69.85     67    184          0      0      0      0
    67        100 258.96    246    607        100  68.21     67     75          0      0      0      0
    68        100 248.32    245    305        100  68.23     67     87          0      0      0      0
    69        100 259.26    245    825        100  68.23     67     77          0      0      0      0
    70        100 255.27    245    759        100  70.72     67    260          0      0      0      0
    71        100 254.42    246    631        100  69.11     67    151          0      0      0      0
    72        100 255.77    246    933        100  69.04     67    129          0      0      0      0
    73        100 256.62    245    636        100  69.34     67    153          0      0      0      0
    74        100 249.91    245    356        100  68.54     67     93          0      0      0      0
    75        100 254.78    245    622        100  71.83     67    433          0      0      0      0
    76        100 250.93    246    355        100  71.06     67    174          0      0      0      0
    77        100 251.16    245    467        100  70.12     67    280          0      0      0      0
    78        100 258.23    245    838        100  75.08     67    642          0      0      0      0
    79        100 257.16    245    629        100  75.54     67    439          0      0      0      0
    80        100    249    246    326        100  68.86     67    145          0      0      0      0
    81        100 255.24    246    626        100  73.98     67    438          0      0      0      0
    82        100 255.41    246    681        100  68.72     67     82          0      0      0      0
    83        100 257.51    245    626        100  70.13     67    272          0      0      0      0
    84        100 252.99    246    628        100  68.05     67     75          0      0      0      0
    85        100 268.99    246   1083        100  71.21     67    175          0      0      0      0
    86        100 264.95    246   1195        100  69.28     67     95          0      0      0      0
    87        100 253.52    246    628        100  69.74     67    171          0      0      0      0
    88        100  255.7    246    631        100  70.18     67    160          0      0      0      0
    89        100 261.64    245   1532        100  80.49     67   1314          0      0      0      0
    90        100 261.49    246    811        100   68.6     67     84          0      0      0      0
    91        100 254.82    245    711        100  69.29     67    163          0      0      0      0
    92        100 259.95    245    915        100  69.01     67    136          0      0      0      0
    93        100 249.98    246    480        100   68.2     67     82          0      0      0      0
    94        100 247.47    246    288        100  68.37     67    109          0      0      0      0
    95        100 256.41    246    624        100  71.96     67    435          0      0      0      0
    96        100 253.47    245    633        100  68.18     67     82          0      0      0      0
    97        100 248.09    245    310        100  68.03     67     80          0      0      0      0
    98        100 256.45    245    653        100  68.38     67     85          0      0      0      0
    99        100 248.58    245    308        100  68.43     67     83          0      0      0      0
   100        100 253.15    245    629        100  68.13     67     75          0      0      0      0
   101        100 256.07    246    894        100  68.26     67     75          0      0      0      0
   102        100 252.85    245    506        100  70.52     67    316          0      0      0      0
   103        100 248.22    246    311        100  68.14     67     83          0      0      0      0
   104        100 262.35    246    738        100  79.48     67    542          0      0      0      0
   105        100  248.5    245    369        100  67.93     67     75          0      0      0      0
   106        100 252.47    246    628        100  68.32     67     83          0      0      0      0
   107        100 259.49    245    906        100   69.2     67    169          0      0      0      0
   108        100  250.5    245    484        100  67.88     67     73          0      0      0      0
   109        100 253.22    245    621        100  68.88     67    117          0      0      0      0
   110        100 252.18    245    535        100  69.07     67    156          0      0      0      0
   111        100 247.15    245    282        100  67.86     67     75          0      0      0      0
   112        100  252.5    245    625        100  69.61     67    224          0      0      0      0
   113        100 265.09    245   1244        100  69.15     67    129          0      0      0      0
   114        100 250.02    246    457        100  68.13     67     82          0      0      0      0
   115        100 253.49    245    628        100  74.41     67    438          0      0      0      0
   116        100 265.34    246   1063        100  79.29     67    819          0      0      0      0
   117        100 256.17    246    628        100  74.09     67    441          0      0      0      0
   118        100 249.67    245    367        100  69.52     67    165          0      0      0      0
   119        100 254.57    245    623        100  74.14     67    435          0      0      0      0
   120        100 254.27    245    556        100  74.39     67    368          0      0      0      0
   121        100 258.01    245    766        100  69.64     67    220          0      0      0      0
   122        100 252.85    245    633        100  73.13     67    420          0      0      0      0
   123        100 256.24    246    626        100  74.45     67    437          0      0      0      0
   124        100 251.45    246    369        100  68.08     67     74          0      0      0      0
   125        100 254.74    246    629        100  70.67     67    307          0      0      0      0
   126        100 248.16    245    305        100  68.16     67     81          0      0      0      0
   127        100  260.2    246    885        100  68.51     67     83          0      0      0      0
   128        100 279.21    246    913        100  79.42     67    414          0      0      0      0
   129        100 249.17    246    412        100  68.03     67     77          0      0      0      0
   130        100 254.36    246    630        100  69.19     67    168          0      0      0      0
   131        100 258.66    245    730        100  70.48     67    194          0      0      0      0
   132        100 252.28    245    585        100  68.64     67    118          0      0      0      0
   133        100 255.27    245    624        100   71.9     67    435          0      0      0      0
   134        100 248.66    245    402        100  68.54     67    116          0      0      0      0
   135        100  255.8    245    543        100  72.43     67    284          0      0      0      0
   136        100  248.5    245    393        100  68.42     67    122          0      0      0      0
   137        100 253.87    245    627        100  68.18     67     73          0      0      0      0
   138        100 254.14    246    628        100   68.8     67    127          0      0      0      0
   139        100 250.41    245    522        100  67.91     67     74          0      0      0      0
   140        100 253.87    245    626        100  71.94     67    438          0      0      0      0
   141        100 255.76    245    569        100  68.83     67    116          0      0      0      0
   142        100 252.86    245    630        100  68.08     67     81          0      0      0      0
   143        100 248.38    245    346        100  67.94     67     81          0      0      0      0
   144        100 259.55    245    633        100  76.39     67    442          0      0      0      0
   145        100 248.65    245    348        100  67.96     67     81          0      0      0      0
   146        100 249.67    245    402        100  67.98     67     73          0      0      0      0
   147        100 272.58    246   1079        100  83.09     67    834          0      0      0      0
   148        100  255.2    245    628        100  68.66     67     94          0      0      0      0
   149        100 321.73    245   7479        100  68.39     67     91          0      0      0      0
   150        100 259.43    245    842        100   74.5     67    647          0      0      0      0
   151        100 248.56    246    332        100  68.04     67     81          0      0      0      0
   152        100 261.22    245    769        100  73.58     67    580          0      0      0      0
   153        100 261.19    245    670        100  73.32     67    466          0      0      0      0
   154        100  260.6    246   1078        100  68.52     67     83          0      0      0      0
   155        100 257.17    245    653        100  69.55     67    194          0      0      0      0
   156        100 250.86    245    450        100  68.48     67     92          0      0      0      0
   157        100 249.09    246    364        100  68.06     67     75          0      0      0      0
   158        100 255.68    246    632        100  68.47     67     84          0      0      0      0
   159        100  255.6    246    543        100  71.05     67    354          0      0      0      0
   160        100 249.22    246    355        100  69.04     67    149          0      0      0      0
   161        100 255.64    246    629        100  71.92     67    435          0      0      0      0
   162        100 253.38    245    793        100  68.14     67     85          0      0      0      0
   163        100 247.99    246    302        100  67.97     67     73          0      0      0      0
   164        100 254.88    245    630        100  71.92     67    443          0      0      0      0
   165        100 258.53    245    632        100  69.45     67    195          0      0      0      0
   166        100 250.83    245    424        100  68.36     67     84          0      0      0      0
   167        100 255.76    245    627        100  75.85     67    436          0      0      0      0
   168        100 248.46    245    312        100  69.06     67    128          0      0      0      0
   169        100 253.67    246    624        100  68.98     67    150          0      0      0      0
   170        100 250.86    245    467        100  68.09     67     82          0      0      0      0
   171        100 256.32    246    627        100  72.93     67    438          0      0      0      0
   172        100  249.5    245    427        100  69.81     67    244          0      0      0      0
   173        100 253.07    246    536        100  73.93     67    347          0      0      0      0
   174        100 265.97    245   1947        100  68.59     67    101          0      0      0      0
   175        100 250.28    245    448        100  70.14     67    262          0      0      0      0
   176        100 250.15    246    492        100  70.88     67    304          0      0      0      0
   177        100 255.48    246    627        100  68.09     67     74          0      0      0      0
   178        100 265.36    246    947        100  69.48     67    102          0      0      0      0
   179        100 258.92    246    871        100  72.11     67    440          0      0      0      0
   180        100 248.25    246    350        100  67.86     67     74          0      0      0      0
   181        100 349.52    246   9568        100  68.51     67    102          0      0      0      0
   182        100 254.14    246    551        100  71.17     67    342          0      0      0      0
   183        100  254.5    246    621        100  71.64     67    424          0      0      0      0
   184        100 255.68    246    628        100  71.91     67    440          0      0      0      0
   185        100 261.38    245    847        100  72.42     67    449          0      0      0      0
   186        100  261.2    246    922        100  74.58     67    600          0      0      0      0
   187        100 251.17    246    552        100  71.08     67    363          0      0      0      0
   188        100 254.67    246    642        100  70.77     67    305          0      0      0      0
   189        100 253.77    245    655        100  71.63     67    429          0      0      0      0
   190        100 256.02    246    623        100  75.01     67    435          0      0      0      0
   191        100 248.16    245    313        100  67.91     67     75          0      0      0      0
   192        100 253.19    245    621        100  68.14     67     74          0      0      0      0
   193        100 252.69    245    730        100  68.45     67     84          0      0      0      0
   194        100  252.7    246    523        100  69.63     67    197          0      0      0      0
   195        100 250.17    246    485        100  68.07     67     74          0      0      0      0
   196        100 259.15    246    631        100  70.41     67    247          0      0      0      0
   197        100 248.61    245    384        100  68.33     67     89          0      0      0      0
   198        100 247.58    245    302        100  67.84     67     73          0      0      0      0
   199        100 254.76    245    626        100  69.26     67    129          0      0      0      0
   200        100 253.38    246    630        100  68.59     67     84          0      0      0      0
   201        100 249.74    246    415        100  68.37     67     82          0      0      0      0
   202        100  260.6    245    769        100   73.5     67    574          0      0      0      0
   203        100  248.5    246    347        100  69.43     67    165          0      0      0      0
   204        100 255.18    246    625        100  74.23     67    435          0      0      0      0
   205        100 266.93    246   1528        100  68.32     67     91          0      0      0      0
   206        100    249    246    367        100  69.18     67    183          0      0      0      0
   207        100 253.02    245    782        100  68.17     67     80          0      0      0      0
   208        100 269.28    246    921        100  71.66     67    357          0      0      0      0
   209        100  253.5    245    631        100  68.25     67     79          0      0      0      0
   210        100 249.74    245    394        100  68.28     67     87          0      0      0      0
   211        100 254.04    245    627        100  68.34     67     91          0      0      0      0
   212        100 340.11    246   9295        100 158.18     67   9050          0      0      0      0
   213        100 261.29    245    772        100  77.04     67    584          0      0      0      0
   214        100 253.43    245    555        100  70.37     67    284          0      0      0      0
   215        100 248.12    246    287        100  68.45     67    107          0      0      0      0
   216        100 254.87    246    633        100  68.31     67     83          0      0      0      0
   217        100  253.4    245    635        100  68.29     67     82          0      0      0      0
   218        100 253.06    246    628        100  68.49     67     82          0      0      0      0
   219        100 264.81    246   1252        100  68.54     67     87          0      0      0      0
   220        100  251.8    245    477        100  70.37     67    290          0      0      0      0
   221        100 255.41    245    624        100  71.48     67    389          0      0      0      0
   222        100 248.55    245    358        100  69.07     67    176          0      0      0      0
   223        100 256.69    245    739        100  68.19     67     81          0      0      0      0
   224        100 292.28    245   4183        100  69.02     67    128          0      0      0      0
   225        100 248.84    246    359        100  67.96     67     77          0      0      0      0
   226        100 256.04    246    553        100  73.83     67    365          0      0      0      0
   227        100 250.95    246    421        100  69.64     67    197          0      0      0      0
   228        100 253.72    246    636        100  71.96     67    446          0      0      0      0
   229        100 251.95    246    546        100  71.41     67    321          0      0      0      0
   230        100 259.43    246    807        100  68.38     67     99          0      0      0      0
   231        100 248.99    245    439        100  68.06     67     85          0      0      0      0
   232        100 249.58    246    457        100  69.98     67    271          0      0      0      0
   233        100 259.44    245    878        100  68.52     67     92          0      0      0      0
   234        100  252.5    245    529        100  68.24     67     84          0      0      0      0
   235        100 257.89    246   1188        100     68     67     74          0      0      0      0
   236        100 259.47    245    872        100  74.29     67    636          0      0      0      0
   237        100 248.03    245    316        100  68.03     67     82          0      0      0      0
   238        100 259.03    245    632        100  76.67     67    443          0      0      0      0
   239        100 309.54    246   6153        100  70.02     67    195          0      0      0      0
   240        100 252.69    245    608        100  69.21     67    133          0      0      0      0
   241        100 336.51    245   9099        100 155.19     67   8770          0      0      0      0
   242        100  249.1    245    354        100  68.39     67     84          0      0      0      0
   243        100 256.34    246    631        100   69.9     67    210          0      0      0      0
   244        100 266.39    246   1711        100  68.52     67     81          0      0      0      0
   245        100 253.43    246    629        100  71.83     67    441          0      0      0      0
   246        100 248.32    245    319        100   67.9     67     74          0      0      0      0
   247        100 256.06    246    647        100  68.29     67     89          0      0      0      0
   248        100 248.14    246    344        100  67.89     67     74          0      0      0      0
   249        100 247.48    246    294        100  68.21     67     80          0      0      0      0
   250        100 266.25    246   1423        100  69.09     67    164          0      0      0      0
   251        100 256.36    246    630        100  71.86     67    439          0      0      0      0
   252        100 248.39    246    325        100  68.91     67    143          0      0      0      0
   253        100 333.77    246   8276        100 147.27     67   7986          0      0      0      0
   254        100 253.51    246    635        100   68.3     67     86          0      0      0      0
   255        100 252.67    246    687        100  68.18     67     83          0      0      0      0
   256        100 253.74    246    575        100  69.07     67    149          0      0      0      0
   257        100 255.67    245    622        100  73.04     67    432          0      0      0      0
   258        100 260.17    246   1021        100  73.29     67    444          0      0      0      0
   259        100  249.9    245    396        100  68.21     67     84          0      0      0      0
   260        100 252.01    245    524        100  68.64     67    122          0      0      0      0
   261        100 254.43    246    870        100  74.14     67    659          0      0      0      0
   262        100 256.03    246    623        100  68.69     67    105          0      0      0      0
   263        100 250.99    245    523        100   69.5     67    197          0      0      0      0
   264        100 257.03    245    780        100  73.58     67    546          0      0      0      0
   265        100 253.94    245    494        100  71.31     67    302          0      0      0      0
   266        100  254.6    245    636        100  68.24     67     83          0      0      0      0
   267        100 255.11    245    654        100  68.17     67     76          0      0      0      0
   268        100  258.6    245    647        100  68.58     67     82          0      0      0      0
   269        100 257.93    245    907        100  68.23     67     81          0      0      0      0
   270        100 258.81    245    834        100  68.51     67     85          0      0      0      0
   271        100 248.43    245    306        100  68.12     67     78          0      0      0      0
   272        100 253.35    245    625        100  71.77     67    436          0      0      0      0
   273        100 250.29    245    491        100  68.58     67    102          0      0      0      0
   274        100 266.85    245    829        100  85.96     67    635          0      0      0      0
   275        100 251.19    246    451        100  68.41     67     82          0      0      0      0
   276        100 255.75    246    635        100  68.87     67    151          0      0      0      0
   277        100 248.26    246    327        100  68.16     67     81          0      0      0      0
   278        100 253.38    245    628        100  68.42     67     91          0      0      0      0
   279        100 252.48    246    549        100  69.47     67    176          0      0      0      0
   280        100 252.82    245    627        100  69.35     67    161          0      0      0      0
   281        100 258.22    246    777        100  73.52     67    571          0      0      0      0
