# PING PONG measurements (in us)
# Executed at: 12703.814932
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     2        100 808.98    424   7177        100 281.23    160    850          0      0      0      0
     3        100 1115.5    629  42065        100 266.32    212    412          0      0      0      0
     4        100 689.99    423   1194        100 253.97    159    314          0      0      0      0
     5        100 713.28    547   1335        100  270.4    176    646          0      0      0      0
     6        100 714.29    445   3173        100 261.68    160    633          0      0      0      0
     7        100 686.89    423   1052        100 259.18    159    583          0      0      0      0
     8        100 699.09    485   1001        100 264.68    222    346          0      0      0      0
     9        100 681.12    423   1453        100 249.65    159    383          0      0      0      0
    10        100  707.9    574   1285        100 265.34    181    384          0      0      0      0
    11        100  663.5    422   1263        100 249.37    158    383          0      0      0      0
    12        100 698.46    635    941        100 263.59    222    401          0      0      0      0
    13        100 792.94    616  10588        100 262.92    209    423          0      0      0      0
    14        100 703.03    658    983        100  264.6    230    372          0      0      0      0
    15        100 709.72    636   1787        100 265.54    201    595          0      0      0      0
    16        100 702.54    434   1366        100 263.98    159    869          0      0      0      0
    17        100 705.84    637   1085        100 266.99    229    655          0      0      0      0
    18        100 723.24    616   1471        100 276.22    201   1053          0      0      0      0
    19        100 703.09    599    987        100 266.35    198    562          0      0      0      0
    20        100  685.7    423   2808        100 249.86    159    447          0      0      0      0
    21        100 714.91    600   1564        100 270.32    242    694          0      0      0      0
    22        100 673.25    422   1391        100 249.46    159    378          0      0      0      0
    23        100 697.07    600    948        100 262.27    207    386          0      0      0      0
    24        100 713.36    623   1657        100  268.6    234    627          0      0      0      0
    25        100 709.52    662   1844        100  275.1    240   1326          0      0      0      0
    26        100 706.79    494   1495        100 265.05    162    557          0      0      0      0
    27        100 685.87    424   1480        100 252.93    159    352          0      0      0      0
    28        100 699.59    424   1305        100 261.94    160    643          0      0      0      0
    29        100 724.96    651   2790        100 283.47    251   1933          0      0      0      0
    30        100 703.75    668    953        100 265.85    251    530          0      0      0      0
    31        100 664.88    423   1291        100 249.62    159    778          0      0      0      0
    32        100 708.19    659   1489        100 266.15    222    516          0      0      0      0
    33        100  692.1    425   1434        100  259.1    160    576          0      0      0      0
    34        100 698.54    434   1173        100 263.22    169    734          0      0      0      0
    35        100 704.72    599   1042        100 268.97    221    605          0      0      0      0
    36        100 728.89    642   1909        100 270.74    216    942          0      0      0      0
    37        100 699.66    631   1066        100 266.67    208    632          0      0      0      0
    38        100 715.43    656   1403        100 269.08    236    674          0      0      0      0
    39        100 704.07    628   1067        100 266.16    218    609          0      0      0      0
    40        100 735.57    550   2892        100 286.11    163   2561          0      0      0      0
    41        100 701.42    559    948        100 262.41    184    353          0      0      0      0
    42        100 684.13    423   1866        100 249.38    159    376          0      0      0      0
    43        100 755.46    585   1893        100 292.11    198   1057          0      0      0      0
    44        100 709.05    614   1455        100 268.94    251    468          0      0      0      0
    45        100 691.59    423    820        100 259.19    160    363          0      0      0      0
    46        100  706.4    669   1319        100 267.27    251    631          0      0      0      0
    47        100  709.5    657   1405        100 266.73    251    499          0      0      0      0
    48        100 712.48    666   1200        100 270.48    242    636          0      0      0      0
    49        100 717.72    659   1639        100 260.83    214    285          0      0      0      0
    50        100  711.6    583   1753        100 268.07    193    842          0      0      0      0
    51        100 724.68    642   1931        100 285.41    243   1444          0      0      0      0
    52        100 711.48    557   1400        100  273.6    160    928          0      0      0      0
    53        100 732.41    669   1374        100 272.92    234    764          0      0      0      0
    54        100 712.11    669   1491        100  265.3    251    355          0      0      0      0
    55        100  691.6    423   1420        100 261.32    159    891          0      0      0      0
    56        100 710.41    424   1890        100    277    159   1449          0      0      0      0
    57        100  698.8    594   1031        100 264.34    161    449          0      0      0      0
    58        100 715.56    625   1242        100 267.74    235    658          0      0      0      0
    59        100 704.65    637   1070        100 266.91    218    640          0      0      0      0
    60        100 726.38    669   1736        100 272.96    251    858          0      0      0      0
    61        100 704.18    660    939        100 266.81    240    507          0      0      0      0
    62        100 730.57    670   2654        100 267.28    251    543          0      0      0      0
    63        100 701.87    670    991        100 263.73    251    421          0      0      0      0
    64        100 716.86    606   1381        100 270.48    251    847          0      0      0      0
    65        100 720.27    668   1370        100 265.33    251    368          0      0      0      0
    66        100 713.42    669   1334        100 266.51    251    413          0      0      0      0
    67        100 692.66    469   1002        100 259.53    173    307          0      0      0      0
    68        100  720.2    603   1506        100 275.36    186    635          0      0      0      0
    69        100    726    669   1402        100 277.64    251    607          0      0      0      0
    70        100 706.75    655   1270        100 265.07    251    530          0      0      0      0
    71        100  735.3    666   1521        100 279.47    251   1090          0      0      0      0
    72        100 710.19    667   1265        100  262.7    251    331          0      0      0      0
    73        100  728.6    624   1922        100 280.82    186   1519          0      0      0      0
    74        100 708.82    619   1228        100 270.49    209    591          0      0      0      0
    75        100 695.81    422   1372        100 256.09    159    365          0      0      0      0
    76        100 710.89    424   1517        100 264.48    159    618          0      0      0      0
    77        100  711.9    660   1444        100 267.07    242    382          0      0      0      0
    78        100 714.08    664   1600        100 272.08    241    990          0      0      0      0
    79        100 706.95    622   1305        100 262.53    251    443          0      0      0      0
    80        100 709.38    612   1231        100  267.6    251    643          0      0      0      0
    81        100 746.02    666   1633        100 275.85    251    724          0      0      0      0
    82        100 730.03    669   3047        100 272.77    251    682          0      0      0      0
    83        100 718.28    668   1410        100 268.69    251    537          0      0      0      0
    84        100 744.73    667   2090        100 275.36    251    703          0      0      0      0
    85        100 716.29    660   1211        100 273.14    234    720          0      0      0      0
    86        100 731.64    669   1605        100    276    251    810          0      0      0      0
    87        100 741.18    669   1522        100 281.78    251   1074          0      0      0      0
    88        100 734.15    669   1676        100 269.86    251    645          0      0      0      0
    89        100 704.81    603   1124        100 263.79    236    569          0      0      0      0
    90        100 709.67    668   1679        100 274.55    251   1224          0      0      0      0
    91        100 734.85    667   3128        100 282.04    251   1537          0      0      0      0
    92        100  703.5    668   1073        100 267.71    251    637          0      0      0      0
    93        100  738.9    659   2105        100 284.41    242   1619          0      0      0      0
    94        100 729.55    669   2359        100 282.49    251   1957          0      0      0      0
    95        100 731.27    668   1911        100 284.98    246   1386          0      0      0      0
    96        100 732.64    664   1982        100 277.13    232   1063          0      0      0      0
    97        100  721.2    668   1553        100 274.32    251    714          0      0      0      0
    98        100 732.97    644   1664        100 278.66    251   1021          0      0      0      0
    99        100 694.53    424   1646        100 269.23    159   1186          0      0      0      0
   100        100 709.08    669   1301        100 266.67    251    559          0      0      0      0
   101        100 708.72    668   1146        100 271.22    252    612          0      0      0      0
   102        100 695.74    423   1007        100 260.35    159    369          0      0      0      0
   103        100 678.56    424    810        100 256.61    160    367          0      0      0      0
   104        100 718.57    667   1514        100  274.9    251   1085          0      0      0      0
   105        100 767.22    670   3764        100 276.92    252    680          0      0      0      0
   106        100 739.29    665   1963        100 268.72    244    488          0      0      0      0
   107        100 733.37    668   2086        100 288.33    251   1633          0      0      0      0
   108        100 735.71    624   1815        100 288.62    205   1374          0      0      0      0
   109        100 786.04    425   6744        100 319.46    159   6394          0      0      0      0
   110        100 697.55    422   1433        100 256.43    159    379          0      0      0      0
   111        100 721.73    423   1926        100 268.16    159    984          0      0      0      0
   112        100 746.76    422   1948        100  281.5    159    822          0      0      0      0
   113        100 723.86    423   1795        100 271.48    159    744          0      0      0      0
   114        100 830.89    664  12144        100 378.08    241  11601          0      0      0      0
   115        100 892.31    667  17540        100 268.31    251    539          0      0      0      0
   116        100 952.54    424  27315        100 252.78    159    543          0      0      0      0
   117        100 811.66    670  11508        100 266.33    252    401          0      0      0      0
   118        100 978.78    670  15209        100 416.23    220  14660          0      0      0      0
   119        100 994.75    668  28962        100 266.73    250    619          0      0      0      0
   120        100 879.67    647  17251        100 271.97    241    845          0      0      0      0
   121        100 832.13    668  11204        100 276.02    251    642          0      0      0      0
   122        100 926.22    668  22415        100 483.34    244  21884          0      0      0      0
   123        100 883.67    669  19236        100 264.75    242    386          0      0      0      0
   124        100 825.51    669  10774        100 270.36    251    573          0      0      0      0
   125        100 950.73    652  23062        100 270.62    251    604          0      0      0      0
   126        100 801.62    608  10603        100 262.78    251    363          0      0      0      0
   127        100 826.29    425  13368        100 387.99    161  13018          0      0      0      0
   128        100 894.68    668  19636        100 454.77    251  19225          0      0      0      0
   129        100 813.88    425  11243        100 266.31    159    521          0      0      0      0
   130        100 986.99    669  27577        100 275.07    251    646          0      0      0      0
   131        100  809.9    635  11040        100 266.74    216    424          0      0      0      0
   132        100 858.23    635  14684        100 272.37    185   1118          0      0      0      0
   133        100 904.18    669  20356        100 468.45    251  19843          0      0      0      0
   134        100 980.56    618  14602        100 278.93    183    839          0      0      0      0
   135        100 837.03    670  11817        100 392.62    252  11294          0      0      0      0
   136        100 866.47    591  16307        100 272.92    249    915          0      0      0      0
   137        100 820.85    607  11327        100 276.49    186   1707          0      0      0      0
   138        100 1119.91    659  40334        100 674.59    215  39803          0      0      0      0
   139        100 815.68    424  11504        100  269.9    159   1023          0      0      0      0
   140        100 917.61    578  15576        100 435.42    240  15052          0      0      0      0
   141        100 898.61    661  19047        100 271.18    251    869          0      0      0      0
   142        100 842.92    668  13127        100 276.78    251    608          0      0      0      0
   143        100 867.44    436  15839        100 419.99    161  15255          0      0      0      0
   144        100 838.43    646  11684        100 280.03    251    677          0      0      0      0
   145        100 1008.41    668  28392        100 275.21    251    861          0      0      0      0
   146        100 907.39    659  16857        100 284.68    251   1065          0      0      0      0
   147        100  863.7    544  13826        100 408.84    163  13377          0      0      0      0
   148        100 855.43    668  14257        100 276.02    251    605          0      0      0      0
   149        100 837.38    617  11529        100 273.85    251    607          0      0      0      0
   150        100 881.61    669  15511        100 280.75    252    605          0      0      0      0
   151        100 1041.71    666  16456        100 271.14    251    608          0      0      0      0
   152        100  725.9    669   1345        100 274.08    251    603          0      0      0      0
   153        100 877.55    669  15907        100 418.51    251  15384          0      0      0      0
   154        100 1006.55    655  15890        100 384.45    244  12149          0      0      0      0
   155        100 885.29    645  17617        100 266.31    241    370          0      0      0      0
   156        100 809.89    639  10624        100 265.07    240    361          0      0      0      0
   157        100 871.59    649  15738        100 423.02    251  15297          0      0      0      0
   158        100 871.62    656  17201        100 429.09    241  16584          0      0      0      0
   159        100 823.51    659  12055        100 387.82    235  11527          0      0      0      0
   160        100 849.85    658  15615        100 265.06    251    460          0      0      0      0
   161        100 1474.02    666  77290        100 1032.46    251  76751          0      0      0      0
   162        100 909.63    668  18348        100 448.44    251  17794          0      0      0      0
   163        100 848.99    423  17757        100 259.86    159   1184          0      0      0      0
   164        100  730.1    423   5985        100 306.05    159   5479          0      0      0      0
   165        100 757.53    577   5702        100 265.57    182    548          0      0      0      0
   166        100 742.51    668   1598        100 288.07    251    817          0      0      0      0
   167        100 785.98    667   2489        100 289.99    251    714          0      0      0      0
   168        100 766.45    660   2525        100 284.44    242    686          0      0      0      0
