# PING PONG measurements (in us)
# Executed at: 12309.794152
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     1        100 236.45    212    660        100  30.56     22    385          0      0      0      0
     3        100 257.09    217   3013        100  64.98     34     78          0      0      0      0
     4        100 226.29    221    262        100  66.57     65     99          0      0      0      0
     5        100 232.69    221   1013        100   65.6     65     77          0      0      0      0
     6        100 227.66    221    448        100  68.43     65    285          0      0      0      0
     7        100 228.54    222    539        100  66.48     65     81          0      0      0      0
     8        100 239.49    221   1626        100  76.31     65   1044          0      0      0      0
     9        100 226.95    222    420        100  66.21     65     82          0      0      0      0
    10        100  229.6    222    703        100  71.48     65    531          0      0      0      0
    11        100 224.95    222    289        100  66.28     65     84          0      0      0      0
    12        100 513.84    222  28906        100  66.96     65    137          0      0      0      0
    13        100 239.72    222    958        100  70.34     65    488          0      0      0      0
    14        100 231.59    222    631        100  71.41     65    456          0      0      0      0
    15        100  229.3    222    555        100  65.91     65     75          0      0      0      0
    16        100 227.42    222    318        100  68.01     65    158          0      0      0      0
    17        100 226.39    222    288        100   66.4     65    120          0      0      0      0
    18        100 228.67    222    505        100  68.44     65    329          0      0      0      0
    19        100 225.54    222    285        100  66.07     65     80          0      0      0      0
    20        100 227.13    222    474        100  68.46     65    261          0      0      0      0
    21        100 260.96    222   3277        100  66.17     65     79          0      0      0      0
    22        100  231.2    222    400        100   69.8     65    236          0      0      0      0
    23        100 227.26    221    432        100  65.87     65     80          0      0      0      0
    24        100 228.16    222    374        100  68.01     65    213          0      0      0      0
    25        100 226.34    222    367        100  65.88     65     89          0      0      0      0
    26        100 227.07    222    401        100   65.7     65     77          0      0      0      0
    27        100 225.37    222    258        100  66.28     65    100          0      0      0      0
    28        100 234.31    222    690        100  67.61     65    215          0      0      0      0
    29        100 227.97    221    340        100  66.39     65     87          0      0      0      0
    30        100 244.22    221   1994        100  65.95     65     79          0      0      0      0
    31        100 233.87    221    598        100  69.67     65    432          0      0      0      0
    32        100  226.5    222    318        100  66.16     65     96          0      0      0      0
    33        100 227.96    221    460        100  66.17     65     76          0      0      0      0
    34        100 233.45    222    588        100   66.3     65     84          0      0      0      0
    35        100 225.79    222    306        100  66.55     65    135          0      0      0      0
    36        100 224.97    221    286        100  66.22     65     76          0      0      0      0
    37        100 231.55    222    675        100  66.53     65     95          0      0      0      0
    38        100 225.89    222    299        100  66.33     65    139          0      0      0      0
    39        100 225.83    221    302        100  66.17     65     77          0      0      0      0
    40        100 229.72    222    566        100   65.9     65     76          0      0      0      0
    41        100 228.05    222    483        100  66.67     65    123          0      0      0      0
    42        100 225.86    221    375        100  67.74     65    212          0      0      0      0
    43        100 225.36    221    294        100  66.43     65    132          0      0      0      0
    44        100 289.28    222   6490        100  66.94     65    159          0      0      0      0
    45        100 226.18    222    274        100  66.36     65     99          0      0      0      0
    46        100 224.48    222    267        100  66.33     65    109          0      0      0      0
    47        100 239.81    222    764        100  66.72     65    104          0      0      0      0
    48        100 230.59    222    578        100  66.07     65     77          0      0      0      0
