# PING PONG measurements (in us) 
# Executed at: Wed Feb 02 15:16:27 2011
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     0        100    139    118    595        100     95      5    513        100     16      4     68
     1        100    137    118    347        100     90      5    172        100     18      4    259
     2        100    136    118    301        100     91      5    290        100     16      4     61
     3        100    138    118    405        100     92      5    180        100     16      4     71
     4        100    136    118    344        100     91      5    201        100     15      4     61
     5        100    134    118    253        100     91      5    144        100     16      4     72
     6        100    137    118    524        100     90      5    133        100     20      4    374
     7        100    136    118    334        100     92      5    323        100     17      4    156
     8        100    135    118    270        100     91      5    201        100     16      4     69
     9        100    137    118    347        100     94      5    336        100     16      4     68
    10        100    139    118    419        100     93      5    406        100     16      4     60
    11        100    136    118    416        100     92      5    238        100     16      4     59
    12        100    136    118    255        100     90      5    196        100     16      4     68
    13        100    134    118    292        100     91      5    134        100     15      4     70
    14        100    135    118    269        100     90      5    200        100     16      4     58
    15        100    136    118    468        100     90      5    220        100     16      4     60
    16        100    134    118    274        100     92      5    170        100     15      4     58
    17        100    134    118    224        100     88      5    120        100     17      4    116
    18        100    134    118    246        100     92      5    164        100     15      4     68
    19        100    138    118    346        100     92      5    335        100     17      4     72
    20        100    134    118    270        100     90      5    141        100     16      4     82
    21        100    141    118    543        100     93      5    238        100     17      4    118
    22        100    135    118    273        100     90      5    163        100     16      4     66
    23        100    136    118    244        100     90      5    212        100     17      4    130
    24        100    136    118    429        100     90      5    130        100     16      4     60
    25        100    135    118    306        100     90      5    128        100     16      4    113
    26        100    140    118    461        100     90      5    179        100     18      4    151
    27        100    135    118    298        100     91      5    178        100     16      4     70
    28        100    136    118    281        100     90      5    207        100     17      4     68
    29        100    134    118    223        100     90      5    133        100     16      4     58
    30        100    139    118    606        100     95      5    486        100     16      4     58
    31        100    137    118    298        100     90      5    287        100     18      4    161
    32        100    146    118   1170        100    102      5   1146        100     16      4     79
    33        100    137    118    378        100     88      5    157        100     16      4    102
    34        100    142    118    421        100     93      5    266        100     16      4     68
    35        100    138    118    738        100     91      5    128        100     21      4    566
    36        100    135    118    349        100     91      5    161        100     16      4     59
    37        100    135    118    319        100     90      5    180        100     16      4     58
    38        100    134    118    218        100     90      5    154        100     16      4    109
    39        100    136    118    440        100     90      5    228        100     17      4     70
    40        100    141    119    687        100     97      5    671        100     16      4     69
    41        100    139    118    495        100     93      5    484        100     17      4    121
    42        100    141    118    611        100     89      5    146        100     19      4    305
    43        100    134    118    211        100     90      5    148        100     16      4    123
    44        100    137    118    511        100     89      5    120        100     17      4    148
    45        100    133    118    268        100     91      5    140        100     15      4     58
    46        100    134    118    244        100     89      5    142        100     17      4    114
    47        100    136    118    263        100     89      5    122        100     17      4    108
    48        100    134    118    258        100     91      5    124        100     16      4    111
    49        100    135    118    268        100     90      5    146        100     16      4     64
    50        100    135    118    332        100     91      5    123        100     16      4    112
    51        100    135    118    285        100     90      5    196        100     16      4     68
    52        100    133    118    257        100     91      5    123        100     16      4     58
    53        100    136    118    294        100     91      5    282        100     17      4    146
    54        100    134    118    259        100     91      5    169        100     16      4     67
    55        100    138    118    608        100     92      5    127        100     16      4    129
    56        100    136    118    262        100     89      5    133        100     18      4    149
    57        100    134    118    267        100     91      5    129        100     16      4     69
    58        100    140    118    516        100     90      5    148        100     20      4    370
    59        100    134    118    259        100     91      5    125        100     15      4     67
    60        100    137    118    328        100     92      5    286        100     17      4    135
    61        100    137    118    466        100     92      5    149        100     16      4     72
    62        100    136    118    273        100     91      5    192        100     16      4     73
    63        100    135    119    238        100     90      5    180        100     17      4     60
    64        100    135    118    281        100     91      5    182        100     16      4     59
    65        100    136    118    324        100     89      5    121        100     17      4     70
    66        100    135    118    358        100     90      5    128        100     18      4    270
    67        100    134    118    258        100     90      5    134        100     16      4     58
    68        100    134    118    264        100     92      5    208        100     15      4     59
    69        100    134    118    313        100     90      5    143        100     17      4    225
    70        100    134    118    231        100     90      5    220        100     16      4     66
    71        100    136    118    279        100     91      5    218        100     17      4    191
    72        100    141    118    484        100     95      5    473        100     16      4     60
    73        100    135    118    256        100     91      5    245        100     15      4     58
    74        100    135    118    290        100     89      5    135        100     17      4     58
    75        100    134    118    248        100     90      5    124        100     16      4    106
    76        100    135    118    308        100     88      5    165        100     17      4    212
    77        100    133    118    242        100     91      5    166        100     15      4     58
    78        100    134    118    192        100     88      5    146        100     16      4     69
    79        100    143    118    519        100     95      5    404        100     16      4     69
    80        100    135    118    282        100     91      5    205        100     16      4     58
    81        100    149    118   1289        100     88      5    126        100     18      4    245
    82        100    135    118    248        100     90      5    143        100     16      4     81
    83        100    141    118    953        100     92      5    130        100     15      4     59
    84        100    139    118    349        100     89      5    170        100     18      4    126
    85        100    136    118    414        100     92      5    148        100     17      4    182
    86        100    134    118    251        100     89      5    130        100     17      4     58
    87        100    135    118    294        100     91      5    130        100     16      4     58
