# PING PONG measurements (in us) 
# Executed at: Wed Feb 02 15:15:47 2011
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     0        100    282    116   1954        100    132     16    521        100     25      3    272
     1        100    251    116    697        100    129     16    426        100     22      3    257
     2        100    231    116    760        100    122     15    610        100     19      3    153
     3        100    245    116    971        100    122     16    400        100     24      3    408
     4        100    230    116    560        100    122     15    464        100     22      3    262
     5        100    228    116    726        100    119     16    333        100     19      3    218
     6        100    226    116    547        100    122     16    482        100     21      3    291
     7        100    228    116    687        100    116     16    360        100     23      3    261
     8        100    224    116    702        100    118     16    336        100     18      3    150
     9        100    228    116    751        100    119     16    321        100     22      3    143
    10        100    221    116    552        100    117     16    392        100     19      3    179
    11        100    227    116    857        100    120     16    394        100     21      3    185
    12        100    230    116    581        100    121     16    332        100     21      3    141
    13        100    227    116    578        100    121     16    344        100     20      3    149
    14        100    228    116    729        100    116     16    321        100     19      3    156
    15        100    239    116    651        100    122     16    629        100     22      3    295
    16        100    229    116    589        100    119     16    349        100     20      3    146
    17        100    221    116    880        100    121     16    397        100     19      3    198
    18        100    235    116    745        100    118     16    342        100     23      3    347
    19        100    231    116    626        100    120     16    486        100     23      3    301
    20        100    240    116    576        100    128     16    565        100     23      3    178
    21        100    227    116    714        100    118     16    333        100     20      3    148
    22        100    227    116    608        100    121     16    393        100     21      3    292
    23        100    269    116   2451        100    134     16    973        100     24      3    316
    24        100    265    116    987        100    143     16    971        100     25      3    375
    25        100    249    116   1204        100    122     16    459        100     26      3    244
    26        100    232    116    727        100    121     16    396        100     21      3    153
    27        100    239    116    850        100    122     16    529        100     21      3    315
    28        100    232    116    712        100    116     16    346        100     21      3    169
    29        100    232    116    767        100    119     16    333        100     20      3    170
    30        100    232    116    850        100    123     15    537        100     20      3    149
    31        100    253    116   2510        100    145     16   2283        100     23      3    492
    32        100    230    116    733        100    126     16    713        100     20      3    177
    33        100    239    116   1023        100    125     16    421        100     18      3    177
    34        100    250    116   1283        100    119     16    367        100     31      3    970
    35        100    232    116    759        100    118     16    408        100     21      3    245
    36        100    223    116    737        100    119     16    473        100     19      3    237
    37        100    230    116    604        100    118     16    433        100     20      3    254
    38        100    231    116    777        100    122     16    468        100     27      3    564
    39        100    231    116    751        100    120     16    458        100     18      3    152
    40        100    227    116    549        100    121     15    329        100     23      3    336
    41        100    221    116    934        100    118     16    327        100     20      3    294
    42        100    236    116    699        100    118     16    481        100     22      3    294
    43        100    224    116    571        100    123     16    464        100     21      3    141
    44        100    225    116    762        100    119     16    344        100     19      3    145
    45        100    229    116    945        100    119     16    375        100     20      3    154
    46        100    234    116    546        100    122     16    530        100     23      3    165
    47        100    221    116    569        100    124     15    558        100     18      3    160
    48        100    230    116    740        100    122     15    538        100     23      3    308
    49        100    228    116   1004        100    120     15    545        100     22      3    440
    50        100    233    116    935        100    121     16    360        100     24      3    398
    51        100    238    116   1266        100    118     16    339        100     20      3    175
    52        100    236    116    870        100    121     16    542        100     21      3    150
    53        100    229    116    755        100    118     16    321        100     23      3    386
    54        100    228    116    886        100    119     16    356        100     20      3    304
    55        100    234    116    633        100    120     16    380        100     23      3    304
    56        100    231    116   1311        100    131     15   1293        100     19      3    140
    57        100    234    116    730        100    118     16    340        100     20      3    160
    58        100    224    116    635        100    124     16    484        100     19      3    154
    59        100    229    116    679        100    117     16    331        100     21      3    155
    60        100    230    116    701        100    119     16    406        100     18      3    146
    61        100    236    116    735        100    121     16    356        100     26      3    436
    62        100    251    116   2371        100    145     16   2142        100     20      3    184
    63        100    240    116   1138        100    132     16    922        100     17      3    158
    64        100    342    116   4064        100    175     16   4041        100     49      3   1681
    65        100    239    116    665        100    124     16    612        100     24      3    438
    66        100    233    116    727        100    118     16    326        100     22      3    195
    67        100    244    116   1309        100    137     16   1291        100     22      3    174
    68        100    238    116    964        100    133     16    952        100     20      3    146
    69        100    244    116   1051        100    121     16    460        100     21      3    233
    70        100    238    116   1148        100    119     16    350        100     28      3    814
    71        100    239    116   1063        100    122     16    853        100     22      3    210
    72        100    246    116   1170        100    126     16   1159        100     21      3    209
    73        100    239    116   1120        100    118     16    332        100     21      3    253
    74        100    240    116   1145        100    130     16   1079        100     29      3    931
    75        100    237    116   1125        100    121     16    368        100     19      3    157
    76        100    234    116   1176        100    117     16    336        100     20      3    160
    77        100    269    116   2404        100    119     16    334        100     23      3    230
    78        100    232    116   1094        100    130     16   1083        100     21      3    140
    79        100    229    116   1077        100    120     16    430        100     25      3    865
    80        100    237    116   1122        100    121     16    351        100     21      3    197
    81        100    232    116   1167        100    117     16    326        100     21      3    141
    82        100    236    116    922        100    127     16    911        100     22      3    151
    83        100    236    116   1227        100    122     16    323        100     22      3    151
    84        100    256    116   1518        100    123     16    625        100     33      3   1302
    85        100    232    116    942        100    121     16    451        100     21      3    164
    86        100    247    116   1014        100    120     16    341        100     33      3    801
    87        100    235    116    916        100    125     16    588        100     18      3    150
    88        100    237    116    781        100    122     16    502        100     22      3    197
    89        100    250    116   1887        100    133     16   1018        100     20      3    171
    90        100    302    116   1298        100    154     16    570        100     24      3    256
    91        100    251    116    692        100    121     16    435        100     24      3    189
    92        100    226    116    810        100    119     16    393        100     21      3    255
    93        100    251    116   1040        100    129     16    826        100     21      3    162
    94        100    245    116   2704        100    139     16   2258        100     20      3    296
    95        100    224    116    746        100    120     16    462        100     19      3    179
