# PING PONG measurements (in us)
# Executed at: 14741.267537
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     2        100 605.89    126  35521        100   88.5     16    909          0      0      0      0
     3        100 255.55    126   1369        100  74.46     16    456          0      0      0      0
     4        100 235.81    125    897        100  80.02     16    491          0      0      0      0
     5        100 244.65    126   1696        100  76.89     16    963          0      0      0      0
     6        100 238.62    126   1019        100  78.13     16    558          0      0      0      0
     7        100 239.79    126   1285        100  82.17     16   1040          0      0      0      0
     8        100 235.63    125   1157        100  74.03     16    466          0      0      0      0
     9        100  235.3    126    821        100  80.39     16    792          0      0      0      0
    10        100 234.34    125   1005        100  82.79     16    985          0      0      0      0
    11        100 218.35    125    721        100  72.32     16    451          0      0      0      0
    12        100 224.94    125    733        100  76.32     16    455          0      0      0      0
    13        100 209.67    125    799        100  69.82     16    347          0      0      0      0
    14        100 213.98    125    895        100  68.89     16    510          0      0      0      0
    15        100  256.3    126   2274        100  71.93     16    433          0      0      0      0
    16        100 225.97    125    957        100  65.67     16    377          0      0      0      0
    17        100 209.21    125    717        100  58.86     16    448          0      0      0      0
    18        100 215.62    125    810        100  70.16     16    508          0      0      0      0
    19        100  242.1    125   1388        100  71.05     16    809          0      0      0      0
    20        100  245.3    126   1392        100  79.95     16    523          0      0      0      0
    21        100 215.33    125    691        100  66.96     16    349          0      0      0      0
    22        100 220.66    125    789        100   74.1     16    430          0      0      0      0
    23        100  233.3    125   1262        100  72.85     16    468          0      0      0      0
    24        100 226.67    125    910        100  78.93     16    889          0      0      0      0
    25        100 244.87    126   1052        100  78.41     16    467          0      0      0      0
    26        100 246.16    126   1196        100  71.19     16    448          0      0      0      0
    27        100 242.54    125   1868        100  72.23     16    477          0      0      0      0
    28        100 334.07    125   9835        100 167.09     16   9663          0      0      0      0
    29        100 248.13    125   1114        100  81.59     16    594          0      0      0      0
    30        100 270.54    126   1378        100  91.27     16    774          0      0      0      0
    31        100 249.24    125    950        100  87.24     16    561          0      0      0      0
    32        100 255.37    126    996        100  74.16     16    511          0      0      0      0
    33        100 260.41    126   2464        100  78.29     16    431          0      0      0      0
    34        100 264.23    126    996        100  80.88     16    510          0      0      0      0
    35        100 249.92    126    913        100  83.75     16    590          0      0      0      0
    36        100 258.09    126   1604        100  74.37     16    492          0      0      0      0
    37        100 231.84    126    926        100  82.68     16    689          0      0      0      0
    38        100 227.98    126    818        100   75.9     16    701          0      0      0      0
    39        100 227.24    126    932        100  71.43     16    439          0      0      0      0
    40        100 249.78    126    987        100  79.47     16    526          0      0      0      0
    41        100 240.11    126    946        100  76.64     16    661          0      0      0      0
    42        100 263.85    126   1091        100  84.05     16    556          0      0      0      0
    43        100 271.59    126   1938        100  80.23     16    550          0      0      0      0
    44        100 258.78    126    916        100  78.97     16    767          0      0      0      0
    45        100 264.83    126   1313        100  85.41     16   1026          0      0      0      0
    46        100 243.78    125    967        100  81.91     16    722          0      0      0      0
    47        100 282.45    126   2178        100  86.28     16    672          0      0      0      0
    48        100 272.58    126   1104        100  87.05     16    596          0      0      0      0
    49        100 262.91    126   1545        100  76.63     16    491          0      0      0      0
    50        100 680.43    126  27065        100  86.46     16    848          0      0      0      0
    51        100 275.09    126    872        100  93.69     16    634          0      0      0      0
    52        100 268.24    126    974        100  79.11     16    505          0      0      0      0
    53        100 281.06    126    895        100   97.3     16    716          0      0      0      0
    54        100 282.84    126    988        100  91.61     16    822          0      0      0      0
    55        100 278.72    126   1019        100  93.73     16    678          0      0      0      0
    56        100 250.14    126    933        100  72.63     16    468          0      0      0      0
    57        100 257.38    125    965        100  83.99     16    508          0      0      0      0
    58        100 254.26    126    991        100  79.82     16    671          0      0      0      0
    59        100 243.41    126    955        100  77.94     16    448          0      0      0      0
    60        100 261.53    126   1777        100  77.39     16    470          0      0      0      0
    61        100 256.52    126   1110        100   82.1     16    462          0      0      0      0
    62        100 434.55    126  18749        100 269.53     16  18714          0      0      0      0
    63        100 249.61    126    862        100  78.67     16    523          0      0      0      0
    64        100 281.14    126   1984        100  77.79     16    449          0      0      0      0
    65        100 278.97    126   2539        100 104.75     16   2219          0      0      0      0
    66        100 277.98    126   1370        100  85.19     16    561          0      0      0      0
    67        100  275.7    126   1193        100  88.29     16    664          0      0      0      0
    68        100 283.26    126    890        100  91.62     16    737          0      0      0      0
    69        100 288.58    126   1055        100  98.57     16    649          0      0      0      0
    70        100 287.68    126   1264        100  90.58     16    683          0      0      0      0
    71        100 285.73    126   1469        100  90.72     16    567          0      0      0      0
    72        100 264.11    126   1323        100  79.45     16    599          0      0      0      0
    73        100 421.19    126   8993        100  75.88     15    703          0      0      0      0
    74        100 163.86    127    511        100  74.71     15    208          0      0      0      0
    75        100 191.39    133    774        100  82.95     15    221          0      0      0      0
    76        100 258.93    126  10071        100  71.45     15    377          0      0      0      0
    77        100 151.44    126    502        100   69.6     15    360          0      0      0      0
    78        100 150.88    126    607        100  65.06     15    239          0      0      0      0
    79        100  154.6    123    523        100  70.13     15    228          0      0      0      0
    80        100 152.95    133    514        100  68.82     15    223          0      0      0      0
    81        100 145.85    126    529        100  66.42     15    205          0      0      0      0
    82        100 169.53    127    476        100  79.52     15    217          0      0      0      0
    83        100 170.86    126    580        100  71.52     15    211          0      0      0      0
    84        100 153.27    126    596        100  68.09     15    275          0      0      0      0
    85        100 171.47    124    482        100  77.39     15    245          0      0      0      0
    86        100 152.67    133    689        100   69.5     15    238          0      0      0      0
    87        100 151.65    124    735        100  68.21     15    357          0      0      0      0
    88        100 157.84    133    684        100  70.32     15    201          0      0      0      0
    89        100 161.23    124    667        100  73.43     15    422          0      0      0      0
    90        100 171.77    133    697        100  77.33     15    263          0      0      0      0
    91        100 146.16    124    496        100  66.45     15    214          0      0      0      0
    92        100 149.22    124    512        100  67.98     15    492          0      0      0      0
    93        100  158.6    133    544        100  76.82     15    307          0      0      0      0
    94        100 157.94    126    794        100  68.16     15    276          0      0      0      0
    95        100 146.02    126    503        100  64.72     15    222          0      0      0      0
    96        100 152.38    133    510        100  72.03     15    406          0      0      0      0
    97        100 166.36    126   2489        100  82.86     15   2161          0      0      0      0
    98        100 156.27    133   1072        100   76.5     15    708          0      0      0      0
    99        100 149.51    124    584        100  64.75     15    299          0      0      0      0
   100        100  145.6    124    482        100  64.28     15    221          0      0      0      0
   101        100 170.21    133    541        100  75.64     15    220          0      0      0      0
   102        100 158.58    124    741        100  73.92     15    443          0      0      0      0
   103        100 151.99    124    516        100  68.49     15    314          0      0      0      0
   104        100 147.61    133    541        100  68.18     15    200          0      0      0      0
   105        100 153.04    124    510        100  66.69     15    272          0      0      0      0
   106        100 177.31    133    860        100  83.61     15    400          0      0      0      0
   107        100 147.68    125    587        100   64.8     15    290          0      0      0      0
   108        100 156.27    133    528        100  70.31     15    197          0      0      0      0
   109        100 161.75    126    885        100   68.5     15    401          0      0      0      0
   110        100 151.05    133    605        100  69.17     15    195          0      0      0      0
   111        100 160.36    124    513        100  71.04     15    213          0      0      0      0
   112        100 162.75    133    537        100  74.82     15    215          0      0      0      0
   113        100 162.15    126    834        100  73.19     15    482          0      0      0      0
   114        100 151.46    133    505        100  69.61     15    179          0      0      0      0
   115        100 147.42    125    544        100  65.92     15    261          0      0      0      0
   116        100 155.27    133    679        100  74.48     15    660          0      0      0      0
   117        100 148.25    124    568        100  70.57     15    286          0      0      0      0
   118        100 151.94    124    535        100  66.07     15    219          0      0      0      0
   119        100  155.8    124    524        100  68.94     15    364          0      0      0      0
   120        100 146.01    123    546        100  66.54     15    233          0      0      0      0
   121        100 151.68    123    707        100  70.59     15    388          0      0      0      0
   122        100 161.44    124   1038        100  68.08     15    244          0      0      0      0
   123        100 148.36    123    561        100  67.65     15    276          0      0      0      0
   124        100 156.59    123    530        100  76.49     15    508          0      0      0      0
   125        100  150.4    124    538        100  69.23     15    232          0      0      0      0
   126        100 147.21    133    498        100  69.69     15    208          0      0      0      0
   127        100 151.15    126    538        100  66.23     15    181          0      0      0      0
   128        100 146.84    126    515        100  66.73     15    254          0      0      0      0
   129        100 176.15    124   2837        100  94.05     15   2525          0      0      0      0
   130        100  155.2    133    601        100  75.06     15    478          0      0      0      0
   131        100 164.91    124    570        100  75.54     15    346          0      0      0      0
   132        100 178.75    134    711        100  82.93     15    217          0      0      0      0
   133        100 148.31    124    485        100  65.02     15    205          0      0      0      0
   134        100 147.22    126    517        100  64.11     15    235          0      0      0      0
   135        100 163.07    134    505        100  72.79     15    218          0      0      0      0
   136        100  179.1    126    642        100  78.05     15    307          0      0      0      0
   137        100  183.5    133    866        100   84.7     15    365          0      0      0      0
   138        100 177.18    126    599        100  82.35     15    294          0      0      0      0
   139        100 185.45    126    728        100   78.1     15    320          0      0      0      0
   140        100 189.29    124    855        100  84.25     15    356          0      0      0      0
   141        100 178.99    134    522        100  84.22     15    230          0      0      0      0
   142        100 180.34    126    609        100  85.67     15    589          0      0      0      0
   143        100 183.39    126    676        100  84.86     15    369          0      0      0      0
   144        100 184.28    126    752        100  81.12     15    436          0      0      0      0
   145        100 172.62    126    546        100     78     15    322          0      0      0      0
   146        100 159.74    127    500        100  74.47     15    356          0      0      0      0
   147        100 155.16    133    512        100  74.37     15    493          0      0      0      0
