# PING PONG measurements (in us)
# Executed at: 12441.130648
#           Roundtrip time [us]             Write-access time [us]          Read-access time [us]
# Block     Count   mean    min    max      Count   mean    min    max      Count   mean    min    max
     1        100 225.77    202    740         99 24.0101     22     66          0      0      0      0
     2        100 207.32    202    304        100  22.63     22     38          0      0      0      0
     3        100 209.16    202    396        100  22.42     22     24          0      0      0      0
     4        100 221.96    203    886        100  22.93     22     35          0      0      0      0
     5        100 207.24    203    247        100  22.75     22     34          0      0      0      0
     6        100 211.05    203    405        100  22.54     22     25          0      0      0      0
     7        100 211.52    203    680        100  22.76     22     35          0      0      0      0
     8        100 207.18    203    251        100   22.7     22     33          0      0      0      0
     9        100 213.74    203    738        100  22.92     22     44          0      0      0      0
    10        100 208.83    203    459        100  22.42     22     24          0      0      0      0
    11        100 208.96    203    454        100  22.66     22     34          0      0      0      0
    12        100 207.18    203    319        100  22.51     22     25          0      0      0      0
    13        100 219.69    203    910        100   22.8     22     35          0      0      0      0
    14        100 210.22    203    417        100  22.66     22     36          0      0      0      0
    15        100 208.37    203    310        100  22.77     22     36          0      0      0      0
    16        100 208.23    203    252        100  22.91     22     53          0      0      0      0
    17        100 208.02    203    349        100  22.71     22     39          0      0      0      0
    18        100 208.36    203    430        100  22.87     22     33          0      0      0      0
    19        100 208.38    202    298        100  22.85     22     40          0      0      0      0
    20        100 210.41    203    610        100  22.75     22     39          0      0      0      0
    21        100 206.72    203    280        100  22.54     22     32          0      0      0      0
    22        100 214.23    203    920        100  26.53     22    388          0      0      0      0
    23        100 211.65    203    679        100  22.53     22     33          0      0      0      0
    24        100  210.6    203    481        100  22.59     22     33          0      0      0      0
    25        100 206.57    203    235        100  22.91     22     34          0      0      0      0
    26        100 262.43    203   5508        100  23.27     22     53          0      0      0      0
    27        100 210.94    203    635        100  22.96     22     39          0      0      0      0
    28        100 206.85    203    278        100  22.79     22     36          0      0      0      0
    29        100 209.26    203    422        100  22.48     22     24          0      0      0      0
    30        100 206.37    203    246        100  22.76     22     35          0      0      0      0
    31        100 207.18    203    253        100  23.14     22     52          0      0      0      0
    32        100 217.12    202    838        100  22.81     22     43          0      0      0      0
    33        100  208.4    203    386        100  23.17     22     53          0      0      0      0
    34        100 207.77    203    277        100   22.9     22     52          0      0      0      0
    35        100 208.04    202    479        100  22.56     22     31          0      0      0      0
    36        100 208.58    203    311        100  22.63     22     25          0      0      0      0
    37        100  215.4    203    641        100  23.05     22     35          0      0      0      0
    38        100 209.22    202    366        100  22.86     22     40          0      0      0      0
    39        100 208.18    203    373        100  22.52     22     26          0      0      0      0
    40        100 206.67    203    355        100  22.68     22     34          0      0      0      0
    41        100 215.46    203    642        100  22.82     22     35          0      0      0      0
    42        100 218.68    203    795        100  22.88     22     38          0      0      0      0
    43        100 211.88    203    444        100  22.71     22     24          0      0      0      0
    44        100  212.7    203    665        100  23.15     22     36          0      0      0      0
    45        100 207.39    203    277        100  22.44     22     24          0      0      0      0
    46        100  211.3    203    652        100  22.65     22     34          0      0      0      0
    47        100 208.76    203    358        100  22.39     22     24          0      0      0      0
    48        100  207.3    203    281        100  22.73     22     32          0      0      0      0
    49        100 214.06    203    582        100  22.93     22     45          0      0      0      0
